"recipe_id","name","description","amount"
"8","Sumeček filet","['300 g', '300 g ', ' sumečka afrického']","300 g"
"8","Šťáva z citrónu","['šťáva z 1/2 citronu']","
"
"8","Citronová kúra čerstvá","['kůra z 1/2 citronu']","
"
"8","Sůl mořská","['sůl']","
"
"8","Strouhanka pšeničná","['čerstvá strouhanka (podle potřeby)']","
"
"8","Parmezán","['1-2 lžíce', '1-2 lžíce ', ' strouhaného parmezánu']","1-2 lžíce"
"8","Vejce slepičí","['1', '1 ', ' vejce na obalení']","1"
"8","Olej řepkový","['olej na smažení (nebo sádlo)']","
"
"8","","['']","
"
"8","Brambor zimní","['4', '4 ', ' střední brambory']","4"
"8","Cibule červená čerstvá","['1', '1 ', ' malá červená cibule']","1"
"8","Okurka polní zavařená","['2', '2 ', ' malé nakládané okurky']","2"
"8","","['']","
"
"8","Olej řepkový","['1 lžíce', '1 lžíce ', ' oleje']","1 lžíce"
"8","Sůl mořská","['špetka', 'špetka ', ' soli']","špetka"
"8","Ocet lihový","['1-2 lžičky', '1-2 lžičky ', ' octa (podle chuti)']","1-2 lžičky"
"8","Cukr bílý","['špetka', 'špetka ', ' cukru']","špetka"
"8","Nálev z okurek","['nálev z okurek (použít jako zálivku)']","
"
"8","Vepřová kýta","['750 g', '750 g ', ' vepřové kýty']","750 g"
"8","Sádlo vepřové","['1 lžíce', '1 lžíce ', ' sádla']","1 lžíce"
"8","Sůl mořská","['sůl']","
"
"8","Pepř černý","['pepř']","
"
"8","Cibule čerstvá","['2', '2 ', ' cibule']","2"
"8","Česnek čerstvý","['3 stroužky', '3 stroužky ', ' česneku']","3 stroužky"
"8","Špek","['50 g', '50 g ', ' špeku']","50 g"
"8","Tymián sušený","['1,5', '1,5 ', '  lžíce sušeného tymiánu']","1,5"
"8","Vývar masový","['400 ml', '400 ml ', ' vývaru']","400 ml"
"8","Mouka pšeničná hladká","['1 lžíce', '1 lžíce ', ' hladké mouky']","1 lžíce"
"8","Kuře stehno s kůží","['2', '2 ', ' větší kuřecí stehna']","2"
"8","Mrkev čerstvá","['6', '6 ', ' větších kousků mrkve']","6"
"8","Kmín mletý","['drcený kmín']","
"
"8","Grilovací koření","['koření na kuře']","
"
"8","Vývar zeleninový","['200 ml', '200 ml ', ' zeleninového vývaru']","200 ml"
"8","Pivo tmavé 10ᵒ","['100 ml', '100 ml ', ' černého piva']","100 ml"
"8","Cibule čerstvá","['1', '1 ', ' menší cibule']","1"
"8","Máslo kravské","['1 lžíce', '1 lžíce ', ' másla']","1 lžíce"
"8","Sůl mořská","['sůl']","
"
"8","Pepř černý","['pepř']","
"
"8","","['']","
"
"8","Škrob kukuřičný","['1,5 lžíce', '1,5 lžíce ', ' Maizeny (nebo Solamylu)']","1,5 lžíce"
"8","Brambor zimní","['700 g', '700 g ', ' brambor']","700 g"
"8","Sádlo vepřové","['60 g', '60 g ', ' sádla (nebo olej)']","60 g"
"8","Cibule čerstvá","['85 g', '85 g ', ' cibule']","85 g"
"8","Mrkev čerstvá","['75 g', '75 g ', ' mrkve']","75 g"
"8","Párek vepřový","['2', '2 ', ' párky (nebo klobásy, nemusí být)']","2"
"8","Česnek čerstvý","['2 stroužky', '2 stroužky ', ' česneku']","2 stroužky"
"8","Paprika červená sušená","['1 lžička', '1 lžička ', ' sladké papriky']","1 lžička"
"8","Chilli paprička sušená","['chilli (podle chuti)']","
"
"8","Kmín mletý","['1/2 lžičky', '1/2 lžičky ', ' drceného kmínu']","1/2 lžičky"
"8","Sůl mořská","['sůl']","
"
"8","Pepř černý mletý","['čerstvě mletý pepř']","
"
"8","Fazole červená ledvina sterilované","['1', '1 ', ' konzerva červených fazolí (410 g)']","1"
"8","Petržel nať čerstvá","['zelená nať cibulky']","
"
"8","Smetana kravská zakysaná 12%","['2', '2 ', ' zakysané smetany']","2"
"8","Cukr vanilkový","['3', '3 ', ' vanilkové cukry']","3"
"8","Piškoty","['2', '2 ', ' piškoty']","2"
"8","Jahody čerstvé","['oblíbené ovoce']","
"
"8","Mango čerstvé","['mango']","
"
"8","Jahody čerstvé","['jahoda']","
"
"8","Čokoláda mléčná 25%","['bílá čokoláda']","
"
"8","Čokoláda hořká 40%","['hořká čokoláda']","
"
"8","Vepřová panenka","['1', '1 ', ' vepřová panenka']","1"
"8","Pórek čerstvý","['1', '1 ', ' pórek']","1"
"8","Cibulka jarní čerstvá","['2', '2 ', ' jarní cibulky']","2"
"8","Česnek čerstvý","['2 stroužky', '2 stroužky ', ' česneku']","2 stroužky"
"8","Vývar zeleninový","['250 ml', '250 ml ', ' zeleninového vývaru']","250 ml"
"8","Olej olivový","['2 lžíce', '2 lžíce ', ' olivového oleje']","2 lžíce"
"8","Majoránka sušená","['1 lžička', '1 lžička ', ' majoránky']","1 lžička"
"8","Sůl mořská","['sůl']","
"
"8","Pepř černý","['pepř']","
"
"8","Škrob kukuřičný","['1 lžíce', '1 lžíce ', ' Maizeny']","1 lžíce"
"8","","['']","
"
"8","Vejce slepičí","['4', '4 ', ' vejce']","4"
"8","Mouka pšeničná polohrubá","['200 g', '200 g ', ' polohrubé mouky']","200 g"
"8","Cukr bílý","['150 g', '150 g ', ' moučkového cukru']","150 g"
"8","Olej řepkový","['100 ml', '100 ml ', ' oleje']","100 ml"
"8","Mléko kravské polotučné 1,5%","['100 ml', '100 ml ', ' mléka']","100 ml"
"8","Citrón čerstvý","['1', '1 ', ' citron']","1"
"8","Kypřící prášek","['1', '1 ', ' prášek do pečiva']","1"
"8","","['']","
"
"8","Mléko kravské polotučné 1,5%","['600 ml', '600 ml ', ' mléka']","600 ml"
"8","Cukr bílý","['150 g', '150 g ', ' moučkového cukru']","150 g"
"8","Puding v prášku","['2 sáčky', '2 sáčky ', ' vanilkového pudinku']","2 sáčky"
"8","Máslo kravské","['150 g', '150 g ', ' másla']","150 g"
"8","Kokos strouhaný","['60 g', '60 g ', ' rozmixovaného kokosu']","60 g"
"8","","['']","
"
"8","Marmeláda jahodová","['citronová marmeláda']","
"
"8","Vepřová kýta","['400 g', '400 g ', ' vepřové kýty']","400 g"
"8","Bambusové výhonky čerstvé","['150 g', '150 g ', ' bambusových výhonků']","150 g"
"8","Cibule čerstvá","['1', '1 ', ' cibule']","1"
"8","Fazolky čerstvé","['300 g', '300 g ', ' fazolek']","300 g"
"8","Olej řepkový","['olej']","
"
"8","Kurkuma mletá","['čerstvě mletá kurkuma']","
"
"8","Sůl mořská","['sůl']","
"
"8","","['']","
"
"8","Mouka pšeničná hladká","['500 g', '500 g ', ' hladké mouky (nebo polohrubé)']","500 g"
"8","Kypřící prášek","['1', '1 ', ' prášek do pečiva']","1"
"8","Cukr bílý","['160 g', '160 g ', ' krupicového cukru']","160 g"
"8","Cukr vanilkový","['1', '1 ', ' vanilkový cukr']","1"
"8","Vejce slepičí","['2', '2 ', ' vejce']","2"
"8","Máslo kravské","['130 g', '130 g ', ' másla']","130 g"
"8","Mléko kravské polotučné 1,5%","['6-8 lžic', '6-8 lžic ', ' mléka']","6-8 lžic"
"8","","['']","
"
"8","Marmeláda z červeného rybízu","['1 sklenice', '1 sklenice ', ' rybízové marmelády']","1 sklenice"
"8","Vaječný žloutek","['1', '1 ', ' žloutek na potření mřížky']","1"
"8","Krůta prsa bez kůže","['300 g', '300 g ', ' krůtích prsou']","300 g"
"8","Jogurt kravský bílý 1,5%","['100 g', '100 g ', ' bílého jogurtu']","100 g"
"8","Pepř černý mletý","['čerstvě mletý pepř']","
"
"8","Koření Argentina","['1 lžička', '1 lžička ', ' koření Country směs']","1 lžička"
"8","Sůl mořská","['sůl']","
"
"8","","['']","
"
"8","Mouka pšeničná polohrubá","['3 lžíce', '3 lžíce ', ' polohrubé mouky']","3 lžíce"
"8","Vejce slepičí","['1', '1 ', ' vejce']","1"
"8","Strouhanka kukuřičná","['30 g', '30 g ', ' kukuřičné strouhanky (i více)']","30 g"
"8","","['']","
"
"8","Sádlo vepřové","['sádlo  na smažení (nebo olej)']","
"
"8","Citrón čerstvý","['kolečka', 'kolečka ', ' citronu k podávání']","kolečka"
"8","Máslo kravské","['200 g', '200 g ', ' másla']","200 g"
"8","Cukr bílý","['200 g', '200 g ', ' cukru moučka']","200 g"
"8","Mouka pšeničná hladká","['240 g', '240 g ', ' pohankové hladké mouky (nebo mleté ovesné vločky, mleté pohankové vločky, ovesné otruby...)']","240 g"
"8","Kokos strouhaný","['100 g', '100 g ', ' kokosu']","100 g"
"8","Vejce slepičí","['1', '1 ', ' vejce']","1"
"8","Kakao prášek","['2 lžíce', '2 lžíce ', ' kakaa']","2 lžíce"
"8","Tvaroh polotučný","['1 lžíce', '1 lžíce ', ' měkkého tvarohu']","1 lžíce"
"8","Mouka rýžová hladká","['190 g', '190 g ', ' rýžové mouky']","190 g"
"8","Máslo kravské","['135 g', '135 g ', ' másla']","135 g"
"8","Vlašské ořechy","['85 g', '85 g ', ' vlašských ořechů']","85 g"
"8","Cukr bílý","['55 g', '55 g ', ' moučkového cukru']","55 g"
"8","Cukr vanilkový","['35 g', '35 g ', ' vanilkového cukru']","35 g"
"8","","['']","
"
"8","Olej řepkový","['olej na vymaštění formiček']","
"
"8","Mouka pohanková","['bezlepková mouka na vysypání formiček']","
"
"8","Kuře prso","['2', '2 ', ' kuřecí prsa']","2"
"8","Niva 50% t. v s.","['80 g', '80 g ', ' nivy']","80 g"
"8","Sůl mořská","['sůl']","
"
"8","Brambor zimní","['brambory']","
"
"8","Tymián sušený","['tymián']","
"
"8","Olej řepkový","['olej']","
"
"8","","['']","
"
"8","Mouka pšeničná hladká","['hladká mouka']","
"
"8","Vejce slepičí","['1', '1 ', ' vejce']","1"
"8","Strouhanka pšeničná","['strouhanka']","
"
"8","Kuřecí stehenní řízky","['2', '2 ', ' kuřecí stehenní řízky']","2"
"8","Sůl mořská","['sůl']","
"
"8","Jogurt kravský bílý 1,5%","['100 g', '100 g ', ' bílého jogurtu']","100 g"
"8","Protlak rajčatový","['1 lžíce', '1 lžíce ', ' rajčatové pasty z tuby']","1 lžíce"
