"recipe_id","name","value","unit"
"15","Energie","2 239","2 239 kJ / 535 kcal"
"15","Bílkoviny","11,11","11,11 g"
"15"," – z toho živočišné bílkoviny","6,91","6,91 g"
"15"," – z toho rostlinné bílkoviny","4,20","4,20 g"
"15","Tuky","26,93","26,93 g"
"15"," – nasycené","6,40","6,40 g"
"15"," – nenasycené","20,15","20,15 g"
"15"," –– mononenasycené","16,84","16,84 g"
"15"," –– polynenasycené","3,31","3,31 g"
"15"," ––– omega 3","0,12","0,12 g"
"15","Vláknina","16,50","16,50 g"
"15","Cholesterol","14","
14 mg
	"
"15","Sodík","315","
315 mg
	"
"15","Sůl","0,69","0,69 g"
"15","Sacharidy","53,83","53,83 g"
"15"," – cukry","45,79","45,79 g"
"15"," ––– laktóza","5,69","5,69 g"
"15","Energie","35 164","35 164 kJ / 8 404 kcal"
"15","Bílkoviny","167,36","167,36 g"
"15"," – z toho živočišné bílkoviny","124,46","124,46 g"
"15"," – z toho rostlinné bílkoviny","42,90","42,90 g"
"15","Tuky","577,19","577,19 g"
"15"," – nasycené","334,01","334,01 g"
"15"," – nenasycené","221,18","221,18 g"
"15"," –– mononenasycené","186,82","186,82 g"
"15"," –– polynenasycené","34,37","34,37 g"
"15"," ––– omega 3","10,26","10,26 g"
"15","Vláknina","17,85","17,85 g"
"15","Cholesterol","1,77","
1,77 g
	"
"15","Sodík","1,35","
1,35 g
	"
"15","Sůl","3,31","3,31 g"
"15","Sacharidy","626,17","626,17 g"
"15"," – cukry","335,12","335,12 g"
"15"," ––– laktóza","77,02","77,02 g"
"15","Energie","39 140","39 140 kJ / 9 355 kcal"
"15","Bílkoviny","162,52","162,52 g"
"15"," – z toho živočišné bílkoviny","89,63","89,63 g"
"15"," – z toho rostlinné bílkoviny","72,89","72,89 g"
"15","Tuky","524,34","524,34 g"
"15"," – nasycené","274,70","274,70 g"
"15"," – nenasycené","224,36","224,36 g"
"15"," –– mononenasycené","151,25","151,25 g"
"15"," –– polynenasycené","73,12","73,12 g"
"15"," ––– omega 3","2,86","2,86 g"
"15","Vláknina","43,74","43,74 g"
"15","Cholesterol","2,73","
2,73 g
	"
"15","Sodík","1,46","
1,46 g
	"
"15","Sůl","3,46","3,46 g"
"15","Sacharidy","964,16","964,16 g"
"15"," – cukry","548,80","548,80 g"
"15"," ––– laktóza","51,30","51,30 g"
"15","Energie","6 224","6 224 kJ / 1 487 kcal"
"15","Bílkoviny","173,35","173,35 g"
"15"," – z toho živočišné bílkoviny","139,80","139,80 g"
"15"," – z toho rostlinné bílkoviny","33,55","33,55 g"
"15","Tuky","53,22","53,22 g"
"15"," – nasycené","11,34","11,34 g"
"15"," – nenasycené","38,68","38,68 g"
"15"," –– mononenasycené","24,66","24,66 g"
"15"," –– polynenasycené","14,03","14,03 g"
"15"," ––– omega 3","1,44","1,44 g"
"15","Vláknina","11,70","11,70 g"
"15","Cholesterol","300","
300 mg
	"
"15","Sodík","6,92","
6,92 g
	"
"15","Sůl","16,34","16,34 g"
