"recipe_id","name","value","unit"
"17","Energie","2 268","2 268 kJ / 542 kcal"
"17","Bílkoviny","26,60","26,60 g"
"17"," – z toho živočišné bílkoviny","18,00","18,00 g"
"17"," – z toho rostlinné bílkoviny","8,60","8,60 g"
"17","Tuky","18,15","18,15 g"
"17"," – nasycené","10,65","10,65 g"
"17"," – nenasycené","5,48","5,48 g"
"17"," –– mononenasycené","4,43","4,43 g"
"17"," –– polynenasycené","1,05","1,05 g"
"17"," ––– omega 3","0,19","0,19 g"
"17","Vláknina","4,30","4,30 g"
"17","Cholesterol","32","
32 mg
	"
"17","Sodík","984","
984 mg
	"
"17","Sůl","2,31","2,31 g"
"17","Sacharidy","65,90","65,90 g"
"17"," – cukry","14,30","14,30 g"
"17"," ––– laktóza","8,00","8,00 g"
"17","Energie","4 270","4 270 kJ / 1 021 kcal"
"17","Bílkoviny","93,38","93,38 g"
"17"," – z toho živočišné bílkoviny","89,85","89,85 g"
"17"," – z toho rostlinné bílkoviny","3,53","3,53 g"
"17","Tuky","63,21","63,21 g"
"17"," – nasycené","19,56","19,56 g"
"17"," – nenasycené","30,95","30,95 g"
"17"," –– mononenasycené","23,89","23,89 g"
"17"," –– polynenasycené","7,07","7,07 g"
"17"," ––– omega 3","0,33","0,33 g"
"17","Vláknina","8,68","8,68 g"
"17","Cholesterol","230","
230 mg
	"
"17","Sodík","931","
931 mg
	"
"17","Sůl","2,15","2,15 g"
"17","Sacharidy","16,42","16,42 g"
"17"," – cukry","9,48","9,48 g"
"17"," ––– laktóza","0,00","0,00 g"
"17","Energie","6 192","6 192 kJ / 1 480 kcal"
"17","Bílkoviny","43,58","43,58 g"
"17"," – z toho živočišné bílkoviny","8,88","8,88 g"
"17"," – z toho rostlinné bílkoviny","34,70","34,70 g"
"17","Tuky","57,02","57,02 g"
"17"," – nasycené","9,90","9,90 g"
"17"," – nenasycené","41,12","41,12 g"
"17"," –– mononenasycené","13,76","13,76 g"
"17"," –– polynenasycené","27,37","27,37 g"
"17"," ––– omega 3","4,05","4,05 g"
"17","Vláknina","90,80","90,80 g"
"17","Cholesterol","18","
18 mg
	"
"17","Sodík","1,55","
1,55 g
	"
"17","Sůl","3,27","3,27 g"
"17","Sacharidy","152,71","152,71 g"
"17"," – cukry","121,19","121,19 g"
"17"," ––– laktóza","7,32","7,32 g"
"17","Energie","3 644","3 644 kJ / 871 kcal"
"17","Bílkoviny","27,83","27,83 g"
"17"," – z toho živočišné bílkoviny","1,75","1,75 g"
"17"," – z toho rostlinné bílkoviny","26,08","26,08 g"
"17","Tuky","44,97","44,97 g"
"17"," – nasycené","21,79","21,79 g"
"17"," – nenasycené","22,31","22,31 g"
"17"," –– mononenasycené","18,26","18,26 g"
"17"," –– polynenasycené","4,05","4,05 g"
"17"," ––– omega 3","0,05","0,05 g"
"17","Vláknina","51,20","51,20 g"
"17","Cholesterol","35","
35 mg
	"
"17","Sodík","971","
971 mg
	"
"17","Sůl","2,00","2,00 g"
"17","Sacharidy","64,35","64,35 g"
"17"," – cukry","37,20","37,20 g"
"17"," ––– laktóza","0,00","0,00 g"
"17","Energie","4 462","4 462 kJ / 1 067 kcal"
"17","Bílkoviny","163,26","163,26 g"
"17"," – z toho živočišné bílkoviny","163,10","163,10 g"
"17"," – z toho rostlinné bílkoviny","0,16","0,16 g"
"17","Tuky","34,39","34,39 g"
"17"," – nasycené","5,28","5,28 g"
"17"," – nenasycené","27,47","27,47 g"
"17"," –– mononenasycené","8,75","8,75 g"
"17"," –– polynenasycené","18,72","18,72 g"
"17"," ––– omega 3","1,35","1,35 g"
"17","Vláknina","0,02","0,02 g"
