"recipe_id","name","value","unit"
"7"," – z toho rostlinné bílkoviny","31,88","31,88 g"
"7","Tuky","25,37","25,37 g"
"7"," – nasycené","7,72","7,72 g"
"7"," – nenasycené","11,51","11,51 g"
"7"," –– mononenasycené","7,75","7,75 g"
"7"," –– polynenasycené","3,76","3,76 g"
"7"," ––– omega 3","0,14","0,14 g"
"7","Vláknina","9,25","9,25 g"
"7","Cholesterol","530","
530 mg
	"
"7","Sodík","1,87","
1,87 g
	"
"7","Sůl","4,37","4,37 g"
"7","Sacharidy","209,20","209,20 g"
"7"," – cukry","14,93","14,93 g"
"7"," ––– laktóza","9,80","9,80 g"
"7","Energie","3 107","3 107 kJ / 743 kcal"
"7","Bílkoviny","46,99","46,99 g"
"7"," – z toho živočišné bílkoviny","45,26","45,26 g"
"7"," – z toho rostlinné bílkoviny","1,73","1,73 g"
"7","Tuky","56,19","56,19 g"
"7"," – nasycené","17,55","17,55 g"
"7"," – nenasycené","32,25","32,25 g"
"7"," –– mononenasycené","14,12","14,12 g"
"7"," –– polynenasycené","18,13","18,13 g"
"7"," ––– omega 3","0,45","0,45 g"
"7","Vláknina","4,40","4,40 g"
"7","Cholesterol","639","
639 mg
	"
"7","Sodík","1,80","
1,80 g
	"
"7","Sůl","4,10","4,10 g"
"7","Sacharidy","11,21","11,21 g"
"7"," – cukry","5,10","5,10 g"
"7"," ––– laktóza","0,86","0,86 g"
"7","Energie","13 387","13 387 kJ / 3 200 kcal"
"7","Bílkoviny","89,52","89,52 g"
"7"," – z toho živočišné bílkoviny","81,00","81,00 g"
"7"," – z toho rostlinné bílkoviny","8,52","8,52 g"
"7","Tuky","297,17","297,17 g"
"7"," – nasycené","64,58","64,58 g"
"7"," – nenasycené","209,33","209,33 g"
"7"," –– mononenasycené","72,00","72,00 g"
"7"," –– polynenasycené","137,33","137,33 g"
"7"," ––– omega 3","3,18","3,18 g"
"7","Vláknina","5,88","5,88 g"
"7","Cholesterol","594","
594 mg
	"
"7","Sodík","5,68","
5,68 g
	"
"7","Sůl","14,10","14,10 g"
"7","Sacharidy","41,10","41,10 g"
"7"," – cukry","27,84","27,84 g"
"7"," ––– laktóza","25,50","25,50 g"
"7","Energie","18 187","18 187 kJ / 4 347 kcal"
"7","Bílkoviny","253,61","253,61 g"
"7"," – z toho živočišné bílkoviny","234,20","234,20 g"
