"author","recipe_id","date","text"
"Marie Svarcova","5","10. 4. 2023 10:52","RubyRom:  dík za komentář, recept mi poslala kamarádka tak jsem to zkusila , měla jsem udělat maličko silnější ale dobré to bylo  Krásné sváteční pondělí - užij si kluky"
"RubyRom","5","10. 4. 2023 10:48","Krásné. Boží milosti dělávala moje babička a maminka, vrátila jsi mně do dětství. Dělaly to z jiného těsta, ale to Tvoje vypadá taky zajímavě, to neznám. "
"mika59","5","11. 4. 2023 16:13","Moc pěkný beránek"
"Merylas (moderátorka)","5","10. 4. 2023 19:51","Jsem ráda, že se podělíš o bezlepkové recepty.  Začátky ale musely být těžké, si myslím. "
"Marie Svarcova","5","10. 4. 2023 07:39"," to by mi chutnalo, mám ráda segedín a je to podobné "
"Marie Svarcova","5","10. 4. 2023 07:41"," moc dobrá pomazánka a krásné foto "
"RubyRom","5","10. 4. 2023 12:05","Citronová Babeta je výborná, máte ji pěknou."
"Marie Svarcova","5","10. 4. 2023 07:42"," určitě moc dobrá "
"Marie Svarcova","5","9. 4. 2023 13:14","RubyRom:  tak dobrou chuť i když  máš určitě svůj recept  hezky si užijte ať pomlázku nebo šmigrus"
"Marie Svarcova","5","9. 4. 2023 13:12","Eja57:  moc děkuji, z dětství ji neznám to se v Praze u nás nevařilo ale mládí 22 let na Moravě a tak to bylo běžné.  krásný zbytek svátků jen to počasí by mohlo být lepší - už třetí den prší"
"RubyRom","5","9. 4. 2023 13:07","Přesně tuhle chci zítra vařit! "
"Eja57","5","9. 4. 2023 12:59","Maruško, přenesla jsi mne do dětství do kuchyně mé babičky. Děkuji.
Kdo nezná doporučuji vyzkoušet, je to skvělá polévka.
"
"Foxinka","5","9. 4. 2023 17:04","miluseV: jsem ráda, že jste s receptem spokojená a díky za tipy na obměnu receptu "
"miluseV","5","9. 4. 2023 14:34","Recept ukládám. Výborný. Pekla jsem v kameninové oboustranné formě na 170'C cca 50 minut.
Přidala jsem 2 nastrouhaná jablíčka a 1/4 lžičky jedlé sody. Tím pádem ubrala množství mléka na polovinu.
Zbylo i na čtyřlístek.
Děkuji za vynikající recept. "
"Foxinka","5","9. 4. 2023 11:51","Moanka: díky moc "
"Moanka","5","8. 4. 2023 21:35","Vypadá moc dobře. 👌😋"
"Moanka","5","8. 4. 2023 21:39","Hmmm, to by mohlo být dobré… 😋👌"
"RubyRom","5","9. 4. 2023 11:04","Moanka: Děkuji, kdo si hraje nezlobí "
"Moanka","5","8. 4. 2023 21:41","To je náramné… 👌😃 Vy jste ale “hračička”… 😉"
"RubyRom","5","8. 4. 2023 11:48","magdalenka: moc děkuji "
"magdalenka","5","8. 4. 2023 11:32","RubyRom: šikulka kreatívna...krásne rozkvitnutý tanier!"
"RubyRom","5","8. 4. 2023 10:49","Eja57: Moc děkuji "
"Eja57","5","8. 4. 2023 10:32","To je krása"
"RubyRom","5","8. 4. 2023 10:13","Marie Svarcova: Děkuji. Ano na oslavy dělávám, je to dost oblíbené. "
"Marie Svarcova","5","8. 4. 2023 09:36","  moc hezké, dělám je každý rok  a nejen na Velikonoce i na různé oslavy"
"Marie Svarcova","5","8. 4. 2023 10:00",""
"Marie Svarcova","5","8. 4. 2023 10:02"," pěkný salátek , takové mám ráda "
"Majkaa","5","8. 4. 2023 10:45","Děkuji, jsou opravdu dobré, takové ""jednohubky"""
"Marie Svarcova","5","8. 4. 2023 10:03"," vypadají velmi dobře a určitě tak chutnají "
"Gregusa","5","11. 4. 2023 00:28","EvaSk: tak to je možné, ale já prodávám jak jsem koupil. Já jsem jen uvedl jak ho měla maminka nazvaný ve svých receptech.  Po původu názvu jsem už nijak nepátral."
"EvaSk","5","10. 4. 2023 11:13","Pocházím z Police nad Metují. Pokroutky u nás byly placky z těsta z vařených brambor."
"Gregusa","5","10. 4. 2023 10:07","Betyna: díky  tak ještě ukázat jaké jsou z nich pěkné krapličky."
"Betyna","5","8. 4. 2023 19:49","Dovolila jsem si přidat fotku mojich formiček. "
"mika59","5","7. 4. 2023 13:14","Super "
"Marie Svarcova","5","7. 4. 2023 10:34"," přesně tak to znám od babičky i od maminky mého zetě "
"Eja57","5","7. 4. 2023 10:32"," to je krása"
"Lenka Škulinová","5","7. 4. 2023 10:28","Marie Svarcova: Děkuji, ale vábně to nevypadá, byť chuťově doporučuji. Hezký den, LŠ "
"Marie Svarcova","5","7. 4. 2023 07:42"," vůbec to nevypadá špatně, ta kudrnka to hezky barevně doplnila a určitě to bylo dobré "
"Marie Svarcova","5","7. 4. 2023 07:45",""
"janatka","5","27. 6. 2020 20:56","Dnes upečeno na jednu akci. Moc nám to chutnalo. Zbyl na mne jen jediný kousek, tak budu muset upéct znovu, abych si mohla dát kousků více. Miluji kokos. Ani jsem nestihla fotečku."
"Dana61","5","10. 4. 2013 12:23","tak tahle dobrota mi málem utekla tisknu a vyzkouším"
"rebeka","5","21. 3. 2013 17:09","krásný koláček, mňáám"
"sirotek","5","21. 3. 2013 13:04","Mnááám"
"zizala (moderátorka)","5","21. 3. 2013 12:54","Vypadá to šťavnatě a chutně "
"Irule","5","21. 3. 2013 12:45","to vypadá lákavě, určitě vyzkouším. Mandarinky já moc ráda "
"Pajaja","5","21. 3. 2013 12:26","Zajímavý koláček! Mňam. . . "
"Ivana79","5","21. 3. 2013 11:46","ten bude dobrýýý"
"ivulinka","5","21. 3. 2013 07:51","Vypadá nádherně"
