"recipe_id","name","description","amount"
"5","","['']","
"
"5","Mouka pšeničná hladká","['280 g', '280 g ', ' hladké mouky']","280 g"
"5","Máslo kravské","['140 g', '140 g ', ' másla']","140 g"
"5","Sůl mořská","['1 špetka', '1 špetka ', ' soli']","1 špetka"
"5","","['']","
"
"5","Cukr bílý","['10 g', '10 g ', ' cukru moučka']","10 g"
"5","Smetana kravská zakysaná 12%","['100 g', '100 g ', ' zakysané smetany']","100 g"
"5","Šťáva z citrónu","['pár \\t\\t\\t\\t\\t\\t\\t\\tkapek', 'kapek ', ' citronové šťávy']","kapek"
"5","Vaječný žloutek","['1', '1 ', ' žloutek']","1"
"5","Sádlo vepřové","['sádlo  na smažení (nebo olej)']","
"
"5","Cukr bílý","['moučkový cukr na obalení (nebo smíchaný se skořicí)']","
"
"5","Marmeláda jahodová","['džem (libovolný)']","
"
"5","Vejce slepičí","['4', '4 ', ' vejce']","4"
"5","Puding v prášku","['1', '1 ', ' pudinkový prášek vanilkový']","1"
"5","Mouka pohanková","['50 g', '50 g ', ' pohankové mouky']","50 g"
"5","Mouka rýžová hladká","['celozrnné rýžové mouky tolik, aby to s pudinkem a pohankovou moukou dohromady dalo 200 g']","
"
"5","Cukr bílý","['100 g', '100 g ', ' cukru']","100 g"
"5","Ghí","['120 g', '120 g ', ' ghee']","120 g"
"5","Rum","['1 lžíce', '1 lžíce ', ' rumu']","1 lžíce"
"5","Šťáva z citrónu","['1 lžíce', '1 lžíce ', ' citronové šťávy']","1 lžíce"
"5","Voda","['1 lžíce', '1 lžíce ', ' vody']","1 lžíce"
"5","E415 - Xanthan","['1/2 lžičky', '1/2 lžičky ', ' xantanové gumy']","1/2 lžičky"
"5","Kypřící prášek","['2 lžička', '2 lžička ', ' prášku do pečiva']","2 lžička"
"5","Jedlá soda","['1 lžička', '1 lžička ', ' jedlé sody']","1 lžička"
"5","Pasta vanilková","['1 lžička', '1 lžička ', ' vanilkové pasty']","1 lžička"
"5","Sůl mořská","['1 špetka', '1 špetka ', ' soli']","1 špetka"
"5","Brusinky sušené","['1 hrst', '1 hrst ', ' sušených brusinek']","1 hrst"
"5","Citron kandovaný","['1/2 hrsti', '1/2 hrsti ', ' kandovaného ovoce']","1/2 hrsti"
"5","Máslo kravské","['máslo na vymazání formy']","
"
"5","Mouka pohanková","['bezlepková mouka na vysypání']","
"
"5","Čokoládová poleva","['čokoládová poleva na povrch (nebo moučkový cukr)']","
"
"5","Vepřová plec","['500 g', '500 g ', ' vepřového ramínka']","500 g"
"5","Rajče červené čerstvé","['2', '2 ', ' velká rajčata']","2"
"5","Paprika bílá čerstvá","['2', '2 ', ' papriky']","2"
"5","Zelí bílé kvašené","['300 g', '300 g ', ' kysaného zelí']","300 g"
"5","Paprika červená sušená","['mletá paprika']","
"
"5","Sůl mořská","['sůl']","
"
"5","Pepř černý","['pepř']","
"
"5","Máslo kravské","['20 g', '20 g ', ' másla']","20 g"
"5","Vývar masový","['200 ml', '200 ml ', ' vývaru']","200 ml"
"5","Smetana kravská zakysaná 12%","['200 ml', '200 ml ', ' kysané smetany']","200 ml"
"5","Vejce slepičí","['6', '6 ', ' vajec']","6"
"5","Okurka polní zavařená","['2', '2 ', ' sterilované okurky']","2"
"5","Pórek čerstvý","['1', '1 ', ' pórek']","1"
"5","Lučina 70% t.v s.","['100 g', '100 g ', ' Lučiny']","100 g"
"5","Hořčice plnotučná","['1 lžička', '1 lžička ', ' plnotučné hořčice']","1 lžička"
"5","Sůl mořská","['sůl']","
"
"5","Pepř černý","['pepř']","
"
"5","","['']","
"
"5","Vejce slepičí","['3', '3 ', ' vejce']","3"
"5","Cukr bílý","['1 hrnek', '1 hrnek ', ' krupicového cukru']","1 hrnek"
"5","Cukr vanilkový","['1', '1 ', ' vanilkový cukr']","1"
"5","Olej řepkový","['1/2 hrnku', '1/2 hrnku ', ' oleje']","1/2 hrnku"
"5","Kypřící prášek","['1', '1 ', ' prášek do pečiva']","1"
"5","Mouka pšeničná polohrubá","['1 hrnek', '1 hrnek ', ' polohrubé mouky']","1 hrnek"
"5","Mouka pšeničná hladká","['1 hrnek', '1 hrnek ', ' hladké mouky']","1 hrnek"
"5","Mléko kravské polotučné 1,5%","['3/4 hrnku', '3/4 hrnku ', ' mléka']","3/4 hrnku"
"5","Citrón čerstvý","['kůra z 1', 'kůra z 1 ', ' citronu']","kůra z 1"
"5","Šťáva z citrónu","['šťáva z 1 citronu']","
"
"5","","['']","
"
"5","Olej řepkový","['olej na vymazání formy']","
"
"5","Mouka pšeničná hrubá","['hrubá mouka na vysypání formy']","
"
"5","Vepřová plec uzená","['300 g', '300 g ', ' uzeného masa']","300 g"
"5","Klobása","['1', '1 ', ' papriková klobása']","1"
"5","Voda","['1,5 l', '1,5 l ', ' vody']","1,5 l"
"5","Cibule čerstvá","['1', '1 ', ' cibule']","1"
"5","Sůl mořská","['sůl']","
"
"5","Pepř černý mletý","['čerstvě mletý pepř']","
"
"5","Bobkový list sušený","['1', '1 ', ' bobkový list']","1"
"5","Nové koření","['2 kuličky', '2 kuličky ', ' nového koření']","2 kuličky"
"5","Pepř černý","['3 kuličky', '3 kuličky ', ' černého pepře']","3 kuličky"
"5","Smetana kravská sladká 30%","['100 ml', '100 ml ', ' smetany ke šlehání']","100 ml"
"5","Mouka pšeničná hladká","['1 lžíce', '1 lžíce ', ' hladké mouky']","1 lžíce"
"5","Paprika uzená","['1 lžička', '1 lžička ', ' sladké uzené papriky']","1 lžička"
"5","Paprika pálivá","['pálivá paprika (podle chuti)']","
"
"5","","['']","
"
"5","Vejce slepičí","['2', '2 ', ' vejce vařená natvrdo']","2"
"5","Křen čerstvý","['1 lžička', '1 lžička ', ' nastrouhaného křenu']","1 lžička"
"5","Cibulka jarní čerstvá","['1', '1 ', ' nať jarní cibulky']","1"
"5","Mouka pšeničná polohrubá","['350 g', '350 g ', ' polohrubé mouky']","350 g"
"5","Cukr bílý","['220 g', '220 g ', ' krupicového cukru']","220 g"
"5","Máslo kravské","['170 g', '170 g ', ' másla']","170 g"
"5","Mléko kravské polotučné 1,5%","['100 ml', '100 ml ', ' vlažného mléka']","100 ml"
"5","Vejce slepičí","['4', '4 ', ' vejce']","4"
"5","Kypřící prášek","['1', '1 ', ' prášek do pečiva']","1"
"5","Rum","['20 ml', '20 ml ', ' rumu (nemusí být)']","20 ml"
"5","Citronová kúra čerstvá","['citrónová kůra']","
"
"5","Margarín","['tuk na vymazání formy']","
"
"5","Mouka pšeničná hrubá","['hrubá mouka na vysypání']","
"
"5","","['']","
"
"5","Mouka pšeničná hladká","['500 g', '500 g ', ' hladké mouky']","500 g"
"5","Cukr bílý","['250 g', '250 g ', ' moučkového cukru']","250 g"
"5","Vejce slepičí","['3', '3 ', ' vejce']","3"
"5","Med nepasterovaný","['100 g', '100 g ', ' tekutého medu']","100 g"
"5","Máslo kravské","['50 g', '50 g ', ' másla']","50 g"
"5","Skořice ceylonská mletá","['1 lžička', '1 lžička ', ' mleté skořice']","1 lžička"
"5","Jedlá soda","['1 lžička', '1 lžička ', ' jedlé sody']","1 lžička"
"5","Perníkové koření","['směs mletého koření do perníku (podle chuti)']","
"
"5","","['']","
"
"5","Marmeláda jahodová","['marmeláda  na slepení (nebo povidla)']","
"
"5","Čokoládová poleva","['čokoládová poleva na povrch']","
"
"5","Jablko čerstvé","['5', '5 ', ' jablek']","5"
"5","Cukr skořicový","['1', '1 ', ' skořicový cukr']","1"
"5","","['']","
"
"5","Vejce slepičí","['4', '4 ', ' vejce']","4"
"5","Cukr bílý","['5 lžic', '5 lžic ', ' cukru']","5 lžic"
"5","Mouka pšeničná hladká","['5 lžic', '5 lžic ', ' hladké mouky']","5 lžic"
"5","Olej řepkový","['3 lžíce', '3 lžíce ', ' oleje']","3 lžíce"
"5","Sůl mořská","['1 špetka', '1 špetka ', ' soli']","1 špetka"
"5","Kypřící prášek","['1 špetka', '1 špetka ', ' prášku do pečiva']","1 špetka"
"5","","['1 lžička', '1 lžička ', ' nastrouhané citronové  kůry (nebo limetkové)']","1 lžička"
"5","Vepřová krkovice uzená","['500 g', '500 g ', ' uzené krkovice']","500 g"
"5","Zelí bílé kvašené","['750 g', '750 g ', ' kysaného zelí']","750 g"
"5","Brambor zimní","['1 kg', '1 kg ', ' brambor']","1 kg"
"5","Cibule čerstvá","['80 g', '80 g ', ' cibule']","80 g"
"5","Sádlo vepřové","['50 g', '50 g ', ' sádla']","50 g"
"5","Smetana kravská zakysaná 12%","['200 ml', '200 ml ', ' kysané smetany']","200 ml"
"5","Kmín","['5 g', '5 g ', ' kmínu']","5 g"
"5","Sůl mořská","['sůl']","
"
"5","Rohlík pšeničný bílý","['6', '6 ', ' rohlíků']","6"
"5","Šunka vepřová vařená","['200 g', '200 g ', ' šunky (klobásy)']","200 g"
"5","Vejce slepičí","['5', '5 ', ' vajec']","5"
"5","Mléko kravské polotučné 1,5%","['300 ml', '300 ml ', ' mléka']","300 ml"
"5","Mouka pšeničná polohrubá","['1,5 lžíce', '1,5 lžíce ', ' polohrubé mouky']","1,5 lžíce"
"5","Majoránka sušená","['majoránka']","
"
"5","Pepř černý","['pepř']","
"
"5","Sůl mořská","['sůl']","
"
"5","Pepř černý","['nové mleté koření']","
"
"5","Muškát květ sušený","['muškátový květ']","
"
"5","Petržel nať čerstvá","['petrželová nať']","
"
"5","Margarín","['tuk na vymazání plechu']","
"
"5","Mouka pšeničná polohrubá","['polohrubá mouka na vysypání']","
"
"5","","['']","
"
"5","Mouka pšeničná hladká","['400 g', '400 g ', ' hladké mouky']","400 g"
"5","Cukr bílý","['140 g', '140 g ', ' moučkového cukru']","140 g"
"5","Jedlá soda","['1 lžička', '1 lžička ', ' jedlé sody']","1 lžička"
"5","Perníkové koření","['1', '1 ', ' vrchovatá lžička perníkového koření (drcený anýz, badyán...)']","1"
"5","Margarín","['60 g', '60 g ', ' Hery (nebo másla)']","60 g"
"5","Vejce slepičí","['2', '2 ', ' vejce']","2"
"5","Med nepasterovaný","['2 lžíce', '2 lžíce ', ' tekutého vlažného medu']","2 lžíce"
"5","","['']","
"
"5","Vejce slepičí","['1', '1 ', ' vejce na potření']","1"
"5","Mléko kravské polotučné 1,5%","['1 lžička', '1 lžička ', ' mléka']","1 lžička"
"5","","['']","
"
"5","Cukr bílý","['120 g', '120 g ', ' prosátého moučkového cukru']","120 g"
"5","Vaječný bílek","['1', '1 ', ' bílek']","1"
"5","Bramborový škrob","['1 lžička', '1 lžička ', ' bramborového škrobu']","1 lžička"
"5","Šťáva z citrónu","['1 lžička', '1 lžička ', ' citronové šťávy (nebo vody)']","1 lžička"
"5","Hovězí kýta","['3 plátky', '3 plátky ', ' zadního hovězího masa (cca po 160-180 g)']","3 plátky"
"5","Sůl mořská","['sůl']","
"
"5","Pepř černý mletý","['čerstvě mletý pepř']","
"
"5","Hořčice plnotučná","['6 lžiček', '6 lžiček ', ' plnotučné hořčice']","6 lžiček"
"5","Cibule čerstvá","['2', '2 ', ' střední cibule']","2"
"5","Sádlo vepřové","['1 lžíce', '1 lžíce ', ' sádla']","1 lžíce"
"5","Špek","['50 g', '50 g ', ' špeku (slaniny)']","50 g"
"5","Šunka vepřová vařená","['3 plátky', '3 plátky ', ' šunky']","3 plátky"
"5","Okurka polní zavařená","['3', '3 ', ' menší nakládané okurky']","3"
"5","Nálev z okurek","['3 lžíce', '3 lžíce ', ' láku z okurek']","3 lžíce"
"5","Vejce slepičí","['1', '1 ', ' vejce vařené natvrdo']","1"
"5","Vývar hovězí","['300 ml', '300 ml ', ' hovězího vývaru']","300 ml"
"5","Jíška tmavá instantní","['tmavá jíška (podle potřeby)']","
"
"5","Vejce slepičí","['6', '6 ', ' vajec']","6"
"5","Hořčice plnotučná","['1 lžička', '1 lžička ', ' plnotučné hořčice']","1 lžička"
"5","Majonéza","['50 g', '50 g ', ' majonézy']","50 g"
"5","Sýr tavený","['50 g', '50 g ', ' taveného sýra']","50 g"
"5","Sůl mořská","['sůl']","
"
"5","Pepř černý","['pepř']","
"
"5","Šťáva z červené řepy","['200 ml', '200 ml ', ' šťávy z červené řepy (podle potřeby)']","200 ml"
"5","Kuře stehno s kůží","['3-4', '3-4 ', ' kuřecí čtvrtky']","3-4"
"5","Rychlosůl","['praganda - na 1 kg masa 20 g (nebo běžná sůl+1/2 lžičky moučkového cukru)']","
"
"5","","['']","
"
"5","Olej řepkový","['100 g', '100 g ', ' oleje']","100 g"
"5","Vejce slepičí","['3', '3 ', ' vejce']","3"
"5","Kypřící prášek","['1', '1 ', ' prášek do pečiva']","1"
"5","Cukr bílý","['200 g', '200 g ', ' krupicového cukru']","200 g"
"5","Cukr vanilkový","['1', '1 ', ' vanilkový cukr']","1"
"5","Mouka pšeničná hladká","['200 g', '200 g ', ' hladké mouky']","200 g"
"5","Jogurt kravský bílý 1,5%","['200 g', '200 g ', ' bílého jogurtu']","200 g"
"5","Margarín","['tuk na vymazání formy']","
"
"5","Kokos strouhaný","['kokos na vysypání']","
"
"5","Cukr bílý","['moučkový cukr na povrch (nebo poleva)']","
"
"5","Červená řepa čerstvá","['5', '5 ', ' červených řep (vařené vakuované)']","5"
"5","Okurka polní zavařená","['4', '4 ', ' sterilované okurky']","4"
"5","Cibule čerstvá","['1', '1 ', ' malá cibule']","1"
