"recipe_id","name","value","unit"
"12","Energie","4 322","4 322 kJ / 1 033 kcal"
"12","Bílkoviny","73,10","73,10 g"
"12"," – z toho živočišné bílkoviny","0,00","0,00 g"
"12"," – z toho rostlinné bílkoviny","73,10","73,10 g"
"12","Tuky","7,42","7,42 g"
"12"," – nasycené","1,16","1,16 g"
"12"," – nenasycené","6,21","6,21 g"
"12"," –– mononenasycené","2,43","2,43 g"
"12"," –– polynenasycené","3,78","3,78 g"
"12"," ––– omega 3","0,00","0,00 g"
"12","Vláknina","58,70","58,70 g"
"12","Cholesterol","0","
0 mg
	"
"12","Sodík","262","
262 mg
	"
"12","Sůl","0,63","0,63 g"
"12","Sacharidy","140,30","140,30 g"
"12"," – cukry","10,83","10,83 g"
"12"," ––– laktóza","0,00","0,00 g"
"12","Energie","2 423","2 423 kJ / 579 kcal"
"12","Bílkoviny","77,16","77,16 g"
"12"," – z toho živočišné bílkoviny","77,08","77,08 g"
"12"," – z toho rostlinné bílkoviny","0,08","0,08 g"
"12","Tuky","29,49","29,49 g"
"12"," – nasycené","6,02","6,02 g"
"12"," – nenasycené","18,35","18,35 g"
"12"," –– mononenasycené","15,67","15,67 g"
"12"," –– polynenasycené","2,69","2,69 g"
"12"," ––– omega 3","0,10","0,10 g"
"12","Vláknina","0,83","0,83 g"
"12","Cholesterol","403","
403 mg
	"
"12","Sodík","239","
239 mg
	"
"12","Sůl","0,51","0,51 g"
"12","Sacharidy","1,14","1,14 g"
"12"," – cukry","0,08","0,08 g"
"12"," ––– laktóza","0,00","0,00 g"
"12","Energie","9 524","9 524 kJ / 2 276 kcal"
"12","Bílkoviny","65,27","65,27 g"
"12"," – z toho živočišné bílkoviny","0,00","0,00 g"
"12"," – z toho rostlinné bílkoviny","65,27","65,27 g"
"12","Tuky","140,83","140,83 g"
"12"," – nasycené","18,57","18,57 g"
"12"," – nenasycené","117,15","117,15 g"
"12"," –– mononenasycené","62,74","62,74 g"
"12"," –– polynenasycené","54,41","54,41 g"
"12"," ––– omega 3","0,00","0,00 g"
"12","Vláknina","45,60","45,60 g"
"12","Cholesterol","0","
0 mg
	"
"12","Sodík","31","
31 mg
	"
"12","Sůl","0,00","0,00 g"
"12","Sacharidy","164,13","164,13 g"
"12"," – cukry","79,17","79,17 g"
"12"," ––– laktóza","0,00","0,00 g"
"12","Energie","3 945","3 945 kJ / 943 kcal"
"12","Bílkoviny","53,45","53,45 g"
"12"," – z toho živočišné bílkoviny","36,18","36,18 g"
"12"," – z toho rostlinné bílkoviny","17,27","17,27 g"
"12","Tuky","22,08","22,08 g"
"12"," – nasycené","9,42","9,42 g"
"12"," – nenasycené","8,55","8,55 g"
"12"," –– mononenasycené","6,10","6,10 g"
"12"," –– polynenasycené","2,45","2,45 g"
"12"," ––– omega 3","0,23","0,23 g"
"12","Vláknina","4,83","4,83 g"
