"recipe_id","name","value","unit"
"8","Energie","3 774","3 774 kJ / 902 kcal"
"8","Bílkoviny","74,40","74,40 g"
"8"," – z toho živočišné bílkoviny","69,43","69,43 g"
"8"," – z toho rostlinné bílkoviny","4,97","4,97 g"
"8","Tuky","47,95","47,95 g"
"8"," – nasycené","12,97","12,97 g"
"8"," – nenasycené","28,65","28,65 g"
"8"," –– mononenasycené","17,41","17,41 g"
"8"," –– polynenasycené","11,25","11,25 g"
"8"," ––– omega 3","1,62","1,62 g"
"8","Vláknina","8,54","8,54 g"
"8","Cholesterol","453","
453 mg
	"
"8","Sodík","537","
537 mg
	"
"8","Sůl","1,19","1,19 g"
"8","Sacharidy","40,14","40,14 g"
"8"," – cukry","7,51","7,51 g"
"8"," ––– laktóza","0,68","0,68 g"
"8","Energie","6 466","6 466 kJ / 1 545 kcal"
"8","Bílkoviny","166,59","166,59 g"
"8"," – z toho živočišné bílkoviny","162,22","162,22 g"
"8"," – z toho rostlinné bílkoviny","4,37","4,37 g"
"8","Tuky","84,40","84,40 g"
"8"," – nasycené","35,54","35,54 g"
"8"," – nenasycené","41,99","41,99 g"
"8"," –– mononenasycené","34,54","34,54 g"
"8"," –– polynenasycené","7,45","7,45 g"
"8"," ––– omega 3","0,28","0,28 g"
"8","Vláknina","11,64","11,64 g"
"8","Cholesterol","349","
349 mg
	"
"8","Sodík","1,21","
1,21 g
	"
"8","Sůl","2,75","2,75 g"
"8","Sacharidy","27,58","27,58 g"
"8"," – cukry","9,32","9,32 g"
"8"," ––– laktóza","0,00","0,00 g"
"8","Energie","1 443","1 443 kJ / 345 kcal"
"8","Bílkoviny","4,48","4,48 g"
"8"," – z toho živočišné bílkoviny","0,07","0,07 g"
"8"," – z toho rostlinné bílkoviny","4,41","4,41 g"
"8","Tuky","9,09","9,09 g"
"8"," – nasycené","5,56","5,56 g"
"8"," – nenasycené","3,58","3,58 g"
"8"," –– mononenasycené","2,75","2,75 g"
"8"," –– polynenasycené","0,83","0,83 g"
"8"," ––– omega 3","0,05","0,05 g"
"8","Vláknina","13,05","13,05 g"
"8","Cholesterol","26","
26 mg
	"
"8","Sodík","254","
254 mg
	"
"8","Sůl","0,75","0,75 g"
"8","Sacharidy","50,71","50,71 g"
"8"," – cukry","21,78","21,78 g"
"8"," ––– laktóza","0,08","0,08 g"
"8","Energie","6 662","6 662 kJ / 1 592 kcal"
"8","Bílkoviny","40,64","40,64 g"
"8"," – z toho živočišné bílkoviny","23,60","23,60 g"
"8"," – z toho rostlinné bílkoviny","17,04","17,04 g"
"8","Tuky","92,80","92,80 g"
"8"," – nasycené","48,16","48,16 g"
"8"," – nenasycené","43,26","43,26 g"
"8"," –– mononenasycené","29,03","29,03 g"
