"main_category_ind","recipe_id","name"
"False","4","Večírky a oslavy"
"False","4","Silvestr"
"False","4","Česká kuchyně"
"True","4","Bezmasá jídla"
"False","4","Svačina"
"False","4","Oběd"
"False","4","Večeře"
"False","4","Vegetariánské recepty"
"False","4","Slané chutě"
"False","4","Snadné recepty"
"False","4","Velikonoce"
"False","4","Bylinky"
"False","4","Citrusy"
"False","4","Česká kuchyně"
"False","4","Pečení"
"False","4","Jarní recepty"
"True","4","Saláty"
"True","4","Zeleninové saláty"
"False","4","Oběd"
"False","4","Svačina"
"False","4","Bezlepkové recepty"
"False","4","Vegetariánské recepty"
"False","4","Sladkokyselé chutě"
"False","4","Snadné recepty"
"False","4","Recepty pro začátečníky"
"False","4","Běžný den"
"False","4","Podzimní recepty"
"False","4","Zelí"
"False","4","Česká kuchyně"
"True","4","Moučníky"
"True","4","Bábovky"
"False","4","Vegetariánské recepty"
"False","4","Sladké chutě"
"False","4","Snadné recepty"
"False","4","Velikonoce"
"False","4","Česká kuchyně"
"False","4","Pečení"
"True","4","Drůbeží maso"
"True","4","Kuřecí maso"
"False","4","Večeře"
"False","4","Oběd"
"False","4","Slané chutě"
"False","4","Náročné recepty"
"False","4","Sváteční / Nedělní recepty"
"False","4","Velikonoce"
"False","4","Jarní recepty"
"False","4","Česká kuchyně"
"False","4","Bylinky"
"False","4","Vaření"
"False","4","Pečení"
"True","4","Předkrmy"
"True","4","Studená kuchyně"
"True","4","Pomazánky"
"True","4","Studené předkrmy"
"False","4","Bezlepkové recepty"
"False","4","Vegetariánské recepty"
"False","4","Snadné recepty"
"False","4","Svačina"
"False","4","Slané chutě"
"False","4","Sváteční / Nedělní recepty"
"False","4","Velikonoce"
"False","4","Večírky a oslavy"
"False","4","Silvestr"
"False","4","Česká kuchyně"
"True","4","Zavařeniny"
"True","4","Zeleninové zavařeniny"
"False","4","Cuketa"
"False","4","Zelenina"
"False","4","Bezlepkové recepty"
"False","4","Vegetariánské recepty"
"False","4","Pálivé chutě"
"False","4","Snadné recepty"
"False","4","Zavařování"
"False","4","Letní recepty"
"False","4","Česká kuchyně"
"False","4","Běžný den"
"False","4","Večírky a oslavy"
"False","4","Silvestr"
