"recipe_id","name","description","amount"
"14","Vejce slepičí","['5', '5 ', ' vajec']","5"
"14","Okurka polní zavařená","['2', '2 ', ' sladkokyselé okurky']","2"
"14","Sůl mořská","['sůl']","
"
"14","Pepř černý","['pepř']","
"
"14","Cibule červená čerstvá","['1', '1 ', ' červená cibule']","1"
"14","Majonéza","['50 ml', '50 ml ', ' majolky']","50 ml"
"14","Hořčice plnotučná","['1 lžička', '1 lžička ', ' hořčice']","1 lžička"
"14","Petržel nať čerstvá","['nasekaná petrželka']","
"
"14","Sýr kravský tvrdý 30%","['100 g', '100 g ', ' sýra (ementál, gouda...)']","100 g"
"14","Nálev z okurek","['troška láku z okurek na ochucení']","
"
"14","","['']","
"
"14","Vepřová kýta","['220 g', '220 g ', ' pečeného vepřového masa']","220 g"
"14","Mrkev čerstvá","['50 g', '50 g ', ' mrkve']","50 g"
"14","Petržel kořenová čerstvá","['50 g', '50 g ', ' petržele']","50 g"
"14","Vývar masový","['200 ml', '200 ml ', ' vývaru (masový nebo zeleninový)']","200 ml"
"14","Cibule čerstvá","['1', '1 ', ' cibule']","1"
"14","Sádlo vepřové","['1 lžíce', '1 lžíce ', ' sádla']","1 lžíce"
"14","Mouka pšeničná hladká","['1', '1 ', ' rovná lžíce hladké mouky']","1"
"14","Vaječný žloutek","['1', '1 ', ' žloutek']","1"
"14","Sůl mořská","['sůl']","
"
"14","Pepř černý mletý","['čerstvě mletý pepř']","
"
"14","Paprika červená sušená","['1 lžička', '1 lžička ', ' sladké papriky']","1 lžička"
"14","Strouhanka pšeničná","['50-70 g', '50-70 g ', ' strouhanky']","50-70 g"
"14","","['']","
"
"14","Mouka pšeničná polohrubá","['polohrubá mouka']","
"
"14","Vejce slepičí","['1', '1 ', ' vejce']","1"
"14","Strouhanka pšeničná","['strouhanka']","
"
"14","","['']","
"
"14","Olej řepkový","['olej na smažení']","
"
"14","Zelí bílé čerstvé","['1/2', '1/2 ', ' malé hlávky bílého zelí']","1/2"
"14","Mrkev čerstvá","['2', '2 ', ' mrkve']","2"
"14","Červená řepa čerstvá","['4', '4 ', ' uvařené a oloupané červené řepy']","4"
"14","Petržel nať čerstvá","['1 hrst', '1 hrst ', ' nasekané petrželky']","1 hrst"
"14","Cibule červená čerstvá","['2', '2 ', ' červené cibule']","2"
"14","Sůl mořská","['sůl']","
"
"14","Citrón čerstvý","['1', '1 ', ' citron']","1"
"14","Cukr bílý","['cukr (podle chuti)']","
"
"14","Olej olivový","['3 lžíce', '3 lžíce ', ' olivového oleje']","3 lžíce"
"14","","['']","
"
"14","Mouka pšeničná hladká","['1,5 hrnku', '1,5 hrnku ', ' hladké mouky (210 g)']","1,5 hrnku"
"14","Kypřící prášek","['1', '1 ', ' prášek do pečiva']","1"
"14","Cukr bílý","['3/4 hrnku', '3/4 hrnku ', ' cukru krupice (180 g)']","3/4 hrnku"
"14","Vlašské ořechy","['3 lžíce', '3 lžíce ', ' strouhaných ořechů (70 g)']","3 lžíce"
"14","Sůl mořská","['1 špetka', '1 špetka ', ' soli']","1 špetka"
"14","Voda","['1 hrnek', '1 hrnek ', ' vody']","1 hrnek"
"14","Olej řepkový","['1/4 hrnku', '1/4 hrnku ', ' oleje']","1/4 hrnku"
"14","Aroma vanilkové","['1 lžička', '1 lžička ', ' vanilkové esence (tresti)']","1 lžička"
"14","Ocet lihový","['2 lžičky', '2 lžičky ', ' octa']","2 lžičky"
"14","","['']","
"
"14","Mléko kravské polotučné 1,5%","['700 ml', '700 ml ', ' mléka']","700 ml"
"14","Cukr bílý","['3-4 lžíce', '3-4 lžíce ', ' cukru (podle chuti)']","3-4 lžíce"
"14","Puding v prášku","['2', '2 ', ' vanilkové pudinky']","2"
"14","","['']","
"
"14","Máslo kravské","['250 g', '250 g ', ' másla']","250 g"
"14","Čokoláda mléčná 30%","['100 g', '100 g ', ' čokolády - 85%']","100 g"
"14","Máslo kravské","['20 g', '20 g ', ' másla (nebo Omegy)']","20 g"
"14","Smetana kravská sladká 30%","['400 g', '400 g ', ' smetany ke šlehání - 33%']","400 g"
"14","Lískový ořech","['oříšky na posyp (nemusí být)']","
"
"14","Sušenka","['250 g', '250 g ', ' sušenek']","250 g"
"14","Mandle neloupané","['50 g', '50 g ', ' mandlí']","50 g"
"14","Máslo kravské","['120 g', '120 g ', ' másla']","120 g"
"14","","['']","
"
"14","Tvaroh polotučný","['500 g', '500 g ', ' měkkého tvarohu']","500 g"
