"recipe_id","name","description","amount"
"17","Červená řepa čerstvá","['2', '2 ', ' uvařené červené řepy']","2"
"17","Pomazánka mléčná","['200 g', '200 g ', ' pažitkového pomazánkového másla']","200 g"
"17","Pažitka čerstvá","['pažitka']","
"
"17","","['']","
"
"17","Rohlík pšeničný bílý","['2', '2 ', ' rohlíky']","2"
"17","Česnek čerstvý","['česnek']","
"
"17","Olej řepkový","['troška oleje na potření pánve']","
"
"17","Vepřová krkovice","['450 g', '450 g ', ' vepřové krkovice']","450 g"
"17","Sůl mořská","['sůl']","
"
"17","Pepř černý mletý","['čerstvě mletý pepř']","
"
"17","Sádlo vepřové","['1 lžíce', '1 lžíce ', ' sádla']","1 lžíce"
"17","Cibule čerstvá","['1', '1 ', ' cibule']","1"
"17","Mrkev čerstvá","['100 g', '100 g ', ' kořenové zeleniny (mrkev celer, petržel)']","100 g"
"17","Paprika uzená","['1 lžička', '1 lžička ', ' uzené papriky']","1 lžička"
"17","Paprika červená sušená","['1 lžička', '1 lžička ', ' sladké papriky']","1 lžička"
"17","Pasta papriková","['1 lžíce', '1 lžíce ', ' paprikové pasty z tuby (pálivá)']","1 lžíce"
"17","Protlak rajčatový","['1 lžíce', '1 lžíce ', ' rajčatové pasty']","1 lžíce"
"17","Cukr bílý","['1 špetka', '1 špetka ', ' cukru (podle kyselosti)']","1 špetka"
"17","Bobkový list sušený","['1', '1 ', ' bobkový list']","1"
"17","Nové koření","['4 kuličky', '4 kuličky ', ' nového koření']","4 kuličky"
"17","Rozmarýn sušený","['1 snítka', '1 snítka ', ' rozmarýnu']","1 snítka"
"17","Vývar masový","['vývar z kostí na podlití']","
"
"17","Jíška máslová","['jíška na zahuštění (\\t\\t\\t\\t\\t\\t\\t\\tlžíce', 'lžíce ', ' másla + lžíce mouky)']","lžíce"
"17","Celer bulva čerstvá","['3 řapíky', '3 řapíky ', ' celeru']","3 řapíky"
"17","Jablko čerstvé","['4', '4 ', ' jablka']","4"
"17","Rozinky","['1 hrst', '1 hrst ', ' rozinek']","1 hrst"
