"recipe_id","name","value","unit"
"9","Energie","6 816","6 816 kJ / 1 629 kcal"
"9","Bílkoviny","34,65","34,65 g"
"9"," – z toho živočišné bílkoviny","32,49","32,49 g"
"9"," – z toho rostlinné bílkoviny","2,16","2,16 g"
"9","Tuky","112,21","112,21 g"
"9"," – nasycené","71,13","71,13 g"
"9"," – nenasycené","33,97","33,97 g"
"9"," –– mononenasycené","30,51","30,51 g"
"9"," –– polynenasycené","3,45","3,45 g"
"9"," ––– omega 3","1,06","1,06 g"
"9","Vláknina","5,40","5,40 g"
"9","Cholesterol","286","
286 mg
	"
"9","Sodík","624","
624 mg
	"
"9","Sůl","1,35","1,35 g"
"9","Sacharidy","118,12","118,12 g"
"9"," – cukry","116,32","116,32 g"
"9"," ––– laktóza","6,82","6,82 g"
"9","Energie","7 952","7 952 kJ / 1 901 kcal"
"9","Bílkoviny","74,94","74,94 g"
"9"," – z toho živočišné bílkoviny","42,33","42,33 g"
"9"," – z toho rostlinné bílkoviny","32,61","32,61 g"
"9","Tuky","80,33","80,33 g"
"9"," – nasycené","26,55","26,55 g"
"9"," – nenasycené","39,77","39,77 g"
"9"," –– mononenasycené","28,10","28,10 g"
"9"," –– polynenasycené","11,68","11,68 g"
"9"," ––– omega 3","1,31","1,31 g"
"9","Vláknina","28,95","28,95 g"
"9","Cholesterol","92","
92 mg
	"
"9","Sodík","3,28","
3,28 g
	"
"9","Sůl","7,50","7,50 g"
"9","Sacharidy","206,54","206,54 g"
"9"," – cukry","19,56","19,56 g"
"9"," ––– laktóza","0,00","0,00 g"
"9","Energie","163","163 kJ / 39 kcal"
"9","Bílkoviny","1,00","1,00 g"
"9"," – z toho živočišné bílkoviny","0,00","0,00 g"
"9"," – z toho rostlinné bílkoviny","1,00","1,00 g"
"9","Tuky","0,05","0,05 g"
"9"," – nasycené","0,00","0,00 g"
"9"," – nenasycené","0,00","0,00 g"
"9"," –– mononenasycené","0,00","0,00 g"
"9"," –– polynenasycené","0,00","0,00 g"
"9"," ––– omega 3","0,01","0,01 g"
"9","Vláknina","1,10","1,10 g"
"9","Cholesterol","0","
0 mg
	"
"9","Sodík","3","
3 mg
	"
"9","Sůl","0,00","0,00 g"
"9","Sacharidy","8,10","8,10 g"
"9"," – cukry","0,50","0,50 g"
"9"," ––– laktóza","0,00","0,00 g"
"9","Energie","3 223","3 223 kJ / 770 kcal"
"9","Bílkoviny","56,35","56,35 g"
"9"," – z toho živočišné bílkoviny","50,77","50,77 g"
"9"," – z toho rostlinné bílkoviny","5,58","5,58 g"
"9","Tuky","39,92","39,92 g"
"9"," – nasycené","16,78","16,78 g"
"9"," – nenasycené","16,46","16,46 g"
"9"," –– mononenasycené","13,05","13,05 g"
