"recipe_id","name","description","amount"
"12","Čočka hnědá neloupaná","['300 g', '300 g ', ' čočky']","300 g"
"12","Baby špenát","['3', '3 ', ' velké hrsti baby špenátu']","3"
"12","Harissa","['2-3 lžičky', '2-3 lžičky ', ' pasty Harissa']","2-3 lžičky"
"12","Ocet vinný bílý","['2 lžičky', '2 lžičky ', ' bílého vinného octa']","2 lžičky"
"12","Cibule čerstvá","['1', '1 ', ' velká cibule']","1"
"12","Olej řepkový","['olej']","
"
"12","Sůl mořská","['sůl']","
"
"12","Vepřová panenka","['300 g', '300 g ', ' panenky (širší část)']","300 g"
"12","Sůl mořská","['sůl']","
"
"12","Pepř černý mletý","['čerstvě mletý pepř']","
"
"12","Olej olivový","['1 lžíce', '1 lžíce ', ' olivového oleje']","1 lžíce"
"12","Zelí čínské čerstvé","['1', '1 ', ' salát pak choi']","1"
"12","Pórek čerstvý","['10 cm', '10 cm ', ' bílé části pórku']","10 cm"
"12","Česnek sušený","['0,5 lžičky', '0,5 lžičky ', ' sušeného česneku']","0,5 lžičky"
"12","","['0,5', '0,5 ', ' listového rozváleného těsta']","0,5"
"12","Vejce slepičí","['1', '1 ', ' vejce']","1"
"12","Mouka mandlová","['1 hrnek', '1 hrnek ', ' mandlové mouky']","1 hrnek"
"12","Kakao prášek","['1/3 hrnku', '1/3 hrnku ', ' kakaa']","1/3 hrnku"
"12","Máslo mandlové","['3/4 hrnku', '3/4 hrnku ', ' mandlového másla']","3/4 hrnku"
"12","Sirup javorový","['1/2 hrnku', '1/2 hrnku ', ' javorového sirupu']","1/2 hrnku"
"12","Skořice ceylonská","['1 lžička', '1 lžička ', ' skořice']","1 lžička"
"12","Vanilka prášek","['1 lžička', '1 lžička ', ' mleté vanilky']","1 lžička"
"12","Tvaroh polotučný","['250 g', '250 g ', ' měkkého tvarohu']","250 g"
"12","Mouka pšeničná hladká","['150 g', '150 g ', ' hladké mouky']","150 g"
"12","Vejce slepičí","['1', '1 ', ' vejce']","1"
"12","Sirup javorový","['1 lžíce', '1 lžíce ', ' javorového sirupu']","1 lžíce"
"12","Vanilka prášek","['1/2 lžičky', '1/2 lžičky ', ' mleté vanilky']","1/2 lžičky"
"12","Sůl mořská","['1 špetka', '1 špetka ', ' soli']","1 špetka"
"12","","['']","
"
"12","Mák modrý","['mák']","
"
"12","Cukr bílý","['cukr moučka']","
"
"12","Máslo kravské","['máslo na polití']","
"
"12","Kuře prso","['3', '3 ', ' kuřecí prsa']","3"
"12","Sůl mořská","['sůl']","
"
"12","Pepř černý","['pepř']","
"
"12","Cibule čerstvá","['3', '3 ', ' cibule']","3"
"12","Paprika bílá čerstvá","['2', '2 ', ' papriky']","2"
"12","Klobása","['2', '2 ', ' klobásy']","2"
"12","Sádlo vepřové","['kousek', 'kousek ', ' sádla']","kousek"
"12","","['']","
"
"12","Brambor zimní","['600 g', '600 g ', ' brambor']","600 g"
"12","Sůl mořská","['1,5 lžičky', '1,5 lžičky ', ' soli']","1,5 lžičky"
"12","Pepř černý","['1 špetka', '1 špetka ', ' pepře']","1 špetka"
"12","Vejce slepičí","['1', '1 ', ' vejce']","1"
"12","Mouka pšeničná hrubá","['hrubá mouka (podle potřeby)']","
"
"12","","['']","
"
"12","Vejce slepičí","['1', '1 ', ' vajíčko']","1"
"12","Strouhanka pšeničná","['strouhanka']","
"
"12","","['']","
"
"12","Olej řepkový","['olej na smažení']","
"
"12","Kuře prso","['2', '2 ', ' kuřecí prsa']","2"
"12","Sůl mořská","['sůl']","
"
"12","Pepř černý","['pepř']","
"
"12","Olej řepkový","['2 lžíce', '2 lžíce ', ' rostlinného oleje']","2 lžíce"
"12","Cibulka jarní čerstvá","['1', '1 ', ' jarní cibulka (nemusí být)']","1"
"12","","['']","
"
"12","Vejce slepičí","['2', '2 ', ' vejce']","2"
"12","Smetana kravská zakysaná 12%","['2 lžíce', '2 lžíce ', ' zakysané smetany']","2 lžíce"
"12","Majonéza","['2 lžíce', '2 lžíce ', ' majonézy']","2 lžíce"
"12","Hořčice dijonská","['1 lžíce', '1 lžíce ', ' dijonské hořčice']","1 lžíce"
"12","Česnek sušený","['1 lžička', '1 lžička ', ' sušeného česneku']","1 lžička"
"12","Paprika červená sušená","['1 lžička', '1 lžička ', ' sladké papriky']","1 lžička"
"12","Grilovací koření","['1', '1 ', ' kávová lžička grilovacího koření']","1"
"12","Škrob kukuřičný","['2 lžíce', '2 lžíce ', ' Maizeny']","2 lžíce"
"12","Červená řepa čerstvá","['2', '2 ', ' červené řepy']","2"
"12","Jablko čerstvé","['2', '2 ', ' jablka']","2"
"12","Olej olivový","['1 lžička', '1 lžička ', ' olivového oleje']","1 lžička"
"12","Cibule červená čerstvá","['1/2', '1/2 ', ' červené cibule']","1/2"
"12","Sůl mořská","['sůl']","
"
"12","Pepř černý","['pepř']","
"
"12","Šťáva z citrónu","['šťáva z 1 citronu']","
"
"12","Cukr bílý","['cukr na dochucení']","
"
"12","","['']","
"
"12","Vejce slepičí","['4', '4 ', ' vejce']","4"
"12","Cukr bílý","['5 lžic', '5 lžic ', ' cukru']","5 lžic"
"12","Mouka pšeničná hladká","['5 lžic', '5 lžic ', ' hladké mouky']","5 lžic"
"12","Olej řepkový","['3 lžic', '3 lžic ', ' oleje']","3 lžic"
"12","Sůl mořská","['špetka', 'špetka ', ' soli']","špetka"
"12","Citronová kúra čerstvá","['1 lžička', '1 lžička ', ' nastrouhané citronové kůry (nebo limetkové)']","1 lžička"
"12","Čokoláda mléčná 30%","['strouhaná čokoláda na posyp']","
"
"12","","['']","
"
"12","Čokoláda mléčná 30%","['100 g', '100 g ', ' čokolády']","100 g"
"12","Smetana kravská sladká 30%","['250 ml', '250 ml ', ' smetany ke šlehání']","250 ml"
"12","Tvaroh plnotučný","['250 g', '250 g ', ' plnotučného tvarohu v kostce']","250 g"
"12","Špagety pšeničné","['500 g', '500 g ', ' špaget']","500 g"
"12","Máslo kravské","['2 lžíce', '2 lžíce ', ' másla']","2 lžíce"
"12","Cibule čerstvá","['1', '1 ', ' střední cibule']","1"
"12","Špek","['120 g', '120 g ', ' slaniny']","120 g"
"12","Sůl mořská","['1 špetka', '1 špetka ', ' soli']","1 špetka"
"12","Pepř černý mletý","['1 špetka', '1 špetka ', ' mletého pepře']","1 špetka"
"12","Rajče červené čerstvé","['4', '4 ', ' rajčata']","4"
"12","Protlak rajčatový","['1', '1 ', ' malý rajčatový protlak']","1"
"12","Dužina červeného rajčete čerstvá","['1 konzerva', '1 konzerva ', ' loupaných krájených rajčat']","1 konzerva"
"12","","['1 konzerva', '1 konzerva ', ' Salsa napoletana']","1 konzerva"
"12","Kečup sladký","['2 lžíce', '2 lžíce ', ' kečupu jemného']","2 lžíce"
"12","Pepř černý","['1 lžíce', '1 lžíce ', ' tekutého koření']","1 lžíce"
"12","Gouda 45% t. v s.","['200 g', '200 g ', ' sýru goudy']","200 g"
"12","Olej olivový","['2 lžíce', '2 lžíce ', ' olivového oleje']","2 lžíce"
"12","Cibule čerstvá","['1', '1 ', ' cibule']","1"
"12","Česnek čerstvý","['1 stroužek', '1 stroužek ', ' česneku']","1 stroužek"
"12","Vývar masový","['1,2 l', '1,2 l ', ' vývaru (kuřecí nebo jiný)']","1,2 l"
"12","Mrkev čerstvá","['70 g', '70 g ', ' mrkve']","70 g"
"12","Celer bulva čerstvá","['40 g', '40 g ', ' celeru']","40 g"
"12","Petržel kořenová čerstvá","['30 g', '30 g ', ' petržele']","30 g"
"12","Fazole černé oko","['200', '200 ', ' g černých fazolí z konzervy']","200"
"12","Těstoviny pšeničné","['těstoviny']","
"
"12","Sůl mořská","['sůl']","
"
"12","Pepř černý mletý","['čerstvě mletý pepř']","
"
"12","Libeček čerstvý","['libeček (nebo petrželka)']","
"
"12","Králík stehna","['2', '2 ', ' králičí stehna']","2"
"12","Olej řepkový","['olej']","
"
"12","Sůl mořská","['sůl']","
"
"12","Špek","['50 g', '50 g ', ' slaniny']","50 g"
"12","Vývar masový","['500 ml', '500 ml ', ' vývaru']","500 ml"
"12","Cibule čerstvá","['2', '2 ', ' větší cibule']","2"
"12","Česnek čerstvý","['3 stroužky', '3 stroužky ', ' česneku']","3 stroužky"
"12","Smetana kravská sladká 12%","['200 ml', '200 ml ', ' smetany']","200 ml"
"12","Mouka pšeničná hladká","['1 lžička', '1 lžička ', ' hladké mouky']","1 lžička"
"12","Hořčice plnotučná","['1 lžička', '1 lžička ', ' plnotučné hořčice']","1 lžička"
"12","Máslo kravské","['1 lžička', '1 lžička ', ' másla']","1 lžička"
"12","Kapary","['kapary']","
"
"12","Brambor zimní","['500 g', '500 g ', ' ve slupce vařených brambor']","500 g"
"12","Kukuřice sterilovaná","['200 g', '200 g ', ' kukuřice']","200 g"
"12","Hrášek zelený","['200 g', '200 g ', ' hrášku']","200 g"
"12","Rajče červené čerstvé","['3', '3 ', ' rajčata']","3"
"12","Petržel nať čerstvá","['1 lžíce', '1 lžíce ', ' petrželové natě']","1 lžíce"
"12","Jogurt kravský bílý 3,5%","['200 ml', '200 ml ', ' jogurtu']","200 ml"
"12","Olej olivový","['2 lžíce', '2 lžíce ', ' olivového oleje']","2 lžíce"
"12","Křen čerstvý","['1-2 lžíce', '1-2 lžíce ', ' křenu (podle chuti)']","1-2 lžíce"
"12","Pepř bílý","['bílý pepř']","
"
"12","Sůl mořská","['sůl']","
"
"12","Klíčky mungo čerstvé","['2 hrsti', '2 hrsti ', ' mungo klíčků']","2 hrsti"
"12","Mouka pšeničná hladká","['480 g', '480 g ', ' hladké mouky']","480 g"
"12","Olej řepkový","['150 ml', '150 ml ', ' oleje']","150 ml"
"12","Cukr bílý","['1 lžička', '1 lžička ', ' cukru']","1 lžička"
"12","Droždí pekařské lisované","['42 g', '42 g ', ' droždí (1 kostka)']","42 g"
"12","Mléko kravské polotučné 1,5%","['350 ml', '350 ml ', ' mléka']","350 ml"
"12","Vejce slepičí","['1', '1 ', ' vejce']","1"
"12","Olej řepkový","['olej na vymazání plechu']","
"
"12","Máslo kravské","['máslo na potření']","
"
"12","Marmeláda jahodová","['džem']","
"
"12","Mouka pšeničná polohrubá","['300 g', '300 g ', ' polohrubé mouky']","300 g"
"12","Sůl mořská","['1 lžička', '1 lžička ', ' soli']","1 lžička"
"12","Pepř černý","['pepř']","
"
"12","Mléko kravské polotučné 1,5%","['200 ml', '200 ml ', ' mléka']","200 ml"
"12","Olej olivový","['50 ml', '50 ml ', ' olivového oleje']","50 ml"
"12","Droždí sušené","['10 g', '10 g ', ' sušeného droždí']","10 g"
"12","Cukr bílý","['1 špetka', '1 špetka ', ' cukru']","1 špetka"
"12","","['']","
"
"12","Šunka vepřová vařená","['120 g', '120 g ', ' šunky']","120 g"
"12","Gouda 45% t. v s.","['120 g', '120 g ', ' sýra goudy']","120 g"
"12","","['']","
"
"12","Vejce slepičí","['2', '2 ', ' vejce']","2"
"12","Paprika červená sušená","['mletá paprika']","
"
"12","Chilli paprička sušená","['špetka', 'špetka ', ' chilli']","špetka"
"12","Tuňák filet","['2', '2 ', ' steaky z tuňáka']","2"
