"recipe_id","name","value","unit"
"10","Energie","3 444","3 444 kJ / 823 kcal"
"10","Bílkoviny","39,70","39,70 g"
"10"," – z toho živočišné bílkoviny","34,06","34,06 g"
"10"," – z toho rostlinné bílkoviny","5,64","5,64 g"
"10","Tuky","52,61","52,61 g"
"10"," – nasycené","25,98","25,98 g"
"10"," – nenasycené","21,05","21,05 g"
"10"," –– mononenasycené","17,38","17,38 g"
"10"," –– polynenasycené","3,67","3,67 g"
"10"," ––– omega 3","0,16","0,16 g"
"10","Vláknina","16,16","16,16 g"
"10","Cholesterol","610","
610 mg
	"
"10","Sodík","604","
604 mg
	"
"10","Sůl","1,37","1,37 g"
"10","Sacharidy","43,80","43,80 g"
"10"," – cukry","17,28","17,28 g"
"10"," ––– laktóza","4,00","4,00 g"
"10","Energie","1 774","1 774 kJ / 424 kcal"
"10","Bílkoviny","8,07","8,07 g"
"10"," – z toho živočišné bílkoviny","0,00","0,00 g"
"10"," – z toho rostlinné bílkoviny","8,07","8,07 g"
"10","Tuky","22,35","22,35 g"
"10"," – nasycené","3,40","3,40 g"
"10"," – nenasycené","18,90","18,90 g"
"10"," –– mononenasycené","16,08","16,08 g"
"10"," –– polynenasycené","2,83","2,83 g"
"10"," ––– omega 3","0,02","0,02 g"
"10","Vláknina","20,35","20,35 g"
"10","Cholesterol","0","
0 mg
	"
"10","Sodík","6,05","
6,05 g
	"
"10","Sůl","15,00","15,00 g"
"10","Sacharidy","42,42","42,42 g"
"10"," – cukry","1,80","1,80 g"
"10"," ––– laktóza","0,00","0,00 g"
"10","Energie","2 257","2 257 kJ / 540 kcal"
"10","Bílkoviny","66,66","66,66 g"
"10"," – z toho živočišné bílkoviny","64,36","64,36 g"
"10"," – z toho rostlinné bílkoviny","2,30","2,30 g"
"10","Tuky","16,06","16,06 g"
"10"," – nasycené","6,46","6,46 g"
"10"," – nenasycené","6,62","6,62 g"
"10"," –– mononenasycené","4,94","4,94 g"
"10"," –– polynenasycené","1,68","1,68 g"
"10"," ––– omega 3","0,41","0,41 g"
"10","Vláknina","0,60","0,60 g"
"10","Cholesterol","461","
461 mg
	"
"10","Sodík","343","
343 mg
	"
"10","Sůl","0,91","0,91 g"
"10","Sacharidy","31,78","31,78 g"
"10"," – cukry","3,28","3,28 g"
"10"," ––– laktóza","2,28","2,28 g"
"10","Energie","4 102","4 102 kJ / 980 kcal"
"10","Bílkoviny","15,34","15,34 g"
"10"," – z toho živočišné bílkoviny","0,01","0,01 g"
"10"," – z toho rostlinné bílkoviny","15,33","15,33 g"
"10","Tuky","64,71","64,71 g"
"10"," – nasycené","5,44","5,44 g"
"10"," – nenasycené","55,83","55,83 g"
"10"," –– mononenasycené","39,57","39,57 g"
"10"," –– polynenasycené","16,26","16,26 g"
"10"," ––– omega 3","4,51","4,51 g"
