"recipe_id","name","value","unit"
"16","Energie","5 916","5 916 kJ / 1 414 kcal"
"16","Bílkoviny","61,42","61,42 g"
"16"," – z toho živočišné bílkoviny","45,00","45,00 g"
"16"," – z toho rostlinné bílkoviny","16,42","16,42 g"
"16","Tuky","91,82","91,82 g"
"16"," – nasycené","22,98","22,98 g"
"16"," – nenasycené","47,74","47,74 g"
"16"," –– mononenasycené","37,97","37,97 g"
"16"," –– polynenasycené","9,78","9,78 g"
"16"," ––– omega 3","0,38","0,38 g"
"16","Vláknina","29,06","29,06 g"
"16","Cholesterol","135","
135 mg
	"
"16","Sodík","5,09","
5,09 g
	"
"16","Sůl","12,47","12,47 g"
"16","Sacharidy","72,90","72,90 g"
"16"," – cukry","34,48","34,48 g"
"16"," ––– laktóza","0,00","0,00 g"
"16","Energie","12 471","12 471 kJ / 2 981 kcal"
"16","Bílkoviny","197,44","197,44 g"
"16"," – z toho živočišné bílkoviny","7,50","7,50 g"
"16"," – z toho rostlinné bílkoviny","189,94","189,94 g"
"16","Tuky","19,60","19,60 g"
"16"," – nasycené","9,08","9,08 g"
"16"," – nenasycené","7,17","7,17 g"
"16"," –– mononenasycené","3,40","3,40 g"
"16"," –– polynenasycené","3,77","3,77 g"
"16"," ––– omega 3","0,08","0,08 g"
"16","Vláknina","154,04","154,04 g"
"16","Cholesterol","15","
15 mg
	"
"16","Sodík","381","
381 mg
	"
"16","Sůl","0,87","0,87 g"
"16","Sacharidy","428,11","428,11 g"
"16"," – cukry","32,55","32,55 g"
"16"," ––– laktóza","0,75","0,75 g"
"16","Energie","4 309","4 309 kJ / 1 030 kcal"
"16","Bílkoviny","9,30","9,30 g"
"16"," – z toho živočišné bílkoviny","0,70","0,70 g"
"16"," – z toho rostlinné bílkoviny","8,60","8,60 g"
"16","Tuky","84,15","84,15 g"
"16"," – nasycené","53,65","53,65 g"
"16"," – nenasycené","29,08","29,08 g"
"16"," –– mononenasycené","26,43","26,43 g"
"16"," –– polynenasycené","2,65","2,65 g"
"16"," ––– omega 3","0,45","0,45 g"
"16","Vláknina","4,30","4,30 g"
"16","Cholesterol","255","
255 mg
	"
"16","Sodík","626","
626 mg
	"
"16","Sůl","1,51","1,51 g"
"16","Sacharidy","56,70","56,70 g"
"16"," – cukry","5,10","5,10 g"
"16"," ––– laktóza","0,80","0,80 g"
"16","Energie","4 050","4 050 kJ / 968 kcal"
"16","Bílkoviny","7,98","7,98 g"
