"recipe_id","name","value","unit"
"6","Energie","19 290","19 290 kJ / 4 610 kcal"
"6","Bílkoviny","87,24","87,24 g"
"6"," – z toho živočišné bílkoviny","30,84","30,84 g"
"6"," – z toho rostlinné bílkoviny","56,40","56,40 g"
"6","Tuky","217,28","217,28 g"
"6"," – nasycené","55,80","55,80 g"
"6"," – nenasycené","145,07","145,07 g"
"6"," –– mononenasycené","104,03","104,03 g"
"6"," –– polynenasycené","41,04","41,04 g"
"6"," ––– omega 3","11,33","11,33 g"
"6","Vláknina","20,80","20,80 g"
"6","Cholesterol","977","
977 mg
	"
"6","Sodík","626","
626 mg
	"
"6","Sůl","2,59","2,59 g"
"6","Sacharidy","566,10","566,10 g"
"6"," – cukry","277,60","277,60 g"
"6"," ––– laktóza","6,00","6,00 g"
"6","Energie","1 132","1 132 kJ / 270 kcal"
"6","Bílkoviny","10,47","10,47 g"
"6"," – z toho živočišné bílkoviny","9,47","9,47 g"
"6"," – z toho rostlinné bílkoviny","1,00","1,00 g"
"6","Tuky","18,38","18,38 g"
"6"," – nasycené","11,77","11,77 g"
"6"," – nenasycené","5,97","5,97 g"
"6"," –– mononenasycené","3,67","3,67 g"
"6"," –– polynenasycené","2,30","2,30 g"
"6"," ––– omega 3","0,44","0,44 g"
"6","Vláknina","1,10","1,10 g"
"6","Cholesterol","36","
36 mg
	"
"6","Sodík","60","
60 mg
	"
"6","Sůl","0,10","0,10 g"
"6","Sacharidy","15,23","15,23 g"
"6"," – cukry","4,30","4,30 g"
"6"," ––– laktóza","3,80","3,80 g"
"6","Energie","2 797","2 797 kJ / 669 kcal"
"6","Bílkoviny","76,77","76,77 g"
"6"," – z toho živočišné bílkoviny","75,51","75,51 g"
"6"," – z toho rostlinné bílkoviny","1,26","1,26 g"
"6","Tuky","36,04","36,04 g"
"6"," – nasycené","8,14","8,14 g"
"6"," – nenasycené","24,60","24,60 g"
"6"," –– mononenasycené","19,44","19,44 g"
"6"," –– polynenasycené","5,16","5,16 g"
"6"," ––– omega 3","0,66","0,66 g"
"6","Vláknina","3,44","3,44 g"
"6","Cholesterol","176","
176 mg
	"
"6","Sodík","500","
500 mg
	"
"6","Sůl","1,19","1,19 g"
"6","Sacharidy","8,72","8,72 g"
"6"," – cukry","1,80","1,80 g"
"6"," ––– laktóza","1,37","1,37 g"
"6","Energie","2 262","2 262 kJ / 541 kcal"
"6","Bílkoviny","6,81","6,81 g"
"6"," – z toho živočišné bílkoviny","5,61","5,61 g"
"6"," – z toho rostlinné bílkoviny","1,20","1,20 g"
