"recipe_id","name","description","amount"
"2","Česnek čerstvý","['6 stroužků', '6 stroužků ', ' česneku']","6 stroužků"
"2","Špek","['100 g', '100 g ', ' špeku']","100 g"
"2","Vývar masový","['200 ml', '200 ml ', ' masového domácího vývaru']","200 ml"
"2","Cibule čerstvá","['2', '2 ', ' velké cibule']","2"
"2","Libeček čerstvý","['čerstvý libeček']","
"
"2","Bazalka čerstvá","['čerstvá bazalka']","
"
"2","Bazalka sušená","['1 lžička', '1 lžička ', ' sušené bazalky']","1 lžička"
"2","Sádlo vepřové","['1 lžíce', '1 lžíce ', ' sádla']","1 lžíce"
"2","Bobkový list sušený","['bobkový list']","
"
"2","Rajče červené čerstvé","['6-8', '6-8 ', ' rajčat']","6-8"
"2","Cukr bílý","['1 lžička', '1 lžička ', ' cukru']","1 lžička"
"2","Máslo kravské","['1 lžička', '1 lžička ', ' másla']","1 lžička"
"2","Fazole bílé","['0,5 hrnku', '0,5 hrnku ', ' uvařených bílých fazolí']","0,5 hrnku"
"2","","['400 g', '400 g ', ' králičího předku']","400 g"
"2","Kost hovězí","['150 g', '150 g ', ' králičích kostí']","150 g"
"2","Sůl mořská","['sůl']","
"
"2","Bobkový list sušený","['2', '2 ', ' bobkové listy']","2"
"2","Cibule čerstvá","['1', '1 ', ' malá cibule']","1"
"2","Pepř černý","['3 kuličky', '3 kuličky ', ' pepře']","3 kuličky"
"2","Nové koření","['3 kuličky', '3 kuličky ', ' nového koření']","3 kuličky"
"2","Libeček čerstvý","['větvička', 'větvička ', ' libečku']","větvička"
"2","Petržel nať čerstvá","['malý svazeček petrželky']","
"
"2","Máslo kravské","['100 g', '100 g ', ' másla']","100 g"
"2","Houska pšeničná","['1', '1 ', ' houska']","1"
"2","Mléko kravské polotučné 1,5%","['trochu', 'trochu ', ' mléka']","trochu"
"2","Vaječný žloutek","['2', '2 ', ' žloutky']","2"
"2","Pažitka čerstvá","['pažitka']","
"
"2","Mouka pšeničná hladká","['600 g', '600 g ', ' hladké mouky']","600 g"
"2","Cukr bílý","['1 lžíce', '1 lžíce ', ' cukru']","1 lžíce"
"2","Droždí sušené","['10 g', '10 g ', ' sušeného droždí']","10 g"
"2","Sůl mořská","['1 špetka', '1 špetka ', ' soli']","1 špetka"
"2","Mléko kravské polotučné 1,5%","['200 ml', '200 ml ', ' vlažného mléka']","200 ml"
"2","Voda","['200 ml', '200 ml ', ' teplé vody']","200 ml"
"2","Olej řepkový","['3 lžíce', '3 lžíce ', ' oleje']","3 lžíce"
"2","Olej řepkový","['olej na smažení']","
"
"2","Marmeláda jahodová","['marmeláda na ozdobu']","
"
"2","Vepřová panenka","['600 g', '600 g ', ' vepřové panenky']","600 g"
"2","Olej olivový","['1 lžíce', '1 lžíce ', ' olivového oleje']","1 lžíce"
"2","Pepř černý","['2 lžičky', '2 lžičky ', ' fermentovaného kampotského černého pepře']","2 lžičky"
"2","","['']","
"
"2","Fazolky mražené","['200 g', '200 g ', ' mražených fazolek']","200 g"
"2","Špek","['40 g', '40 g ', ' špeku']","40 g"
"2","Olej řepkový","['1 lžička', '1 lžička ', ' oleje']","1 lžička"
"2","Šalotka čerstvá","['1', '1 ', ' šalotka']","1"
"2","Česnek čerstvý","['1-2 stroužky', '1-2 stroužky ', ' česneku']","1-2 stroužky"
"2","Sójová omáčka Tamari","['1 lžíce', '1 lžíce ', ' sójové omáčky (Tamari)']","1 lžíce"
"2","","['']","
"
"2","Meruňka zavařená","['360 g', '360 g ', ' kompotu višní i se šťávou']","360 g"
"2","Zázvor čerstvý","['1 lžíce', '1 lžíce ', ' strouhaného čerstvého zázvoru']","1 lžíce"
"2","Víno červené suché","['100 ml', '100 ml ', ' červeného vína (sherry)']","100 ml"
"2","Med nepasterovaný","['1 lžíce', '1 lžíce ', ' medu']","1 lžíce"
"2","Pepř černý","['0,5 lžičky', '0,5 lžičky ', ' fermentovaného kampotského pepře']","0,5 lžičky"
"2","Sůl mořská","['sůl']","
"
"2","Tymián sušený","['0,5 lžičky', '0,5 lžičky ', ' tymiánu (lístky nebo sušený)']","0,5 lžičky"
"2","Máslo kravské","['10 g', '10 g ', ' studeného másla']","10 g"
"2","Puding v prášku","['2', '2 ', ' proteinové čokoládové pudinky']","2"
"2","Vejce slepičí","['1', '1 ', ' vejce']","1"
"2","Cukr vanilkový","['1', '1 ', ' vanilkový cukr']","1"
"2","Mouka pšeničná hladká","['250 g', '250 g ', ' hladké mouky']","250 g"
"2","Kypřící prášek","['1 lžička', '1 lžička ', ' prášku do pečiva']","1 lžička"
"2","Vepřová krkovice","['4 porce', '4 porce ', ' vepřové krkovice']","4 porce"
"2","Sůl mořská","['sůl']","
"
"2","Pepř černý","['pepř']","
"
"2","Sádlo vepřové","['1 lžíce', '1 lžíce ', ' sádla']","1 lžíce"
"2","Cibule čerstvá","['2', '2 ', ' velké cibule']","2"
"2","Špek","['50 g', '50 g ', ' špeku']","50 g"
"2","Mouka pšeničná hladká","['1 lžíce', '1 lžíce ', ' hladké mouky']","1 lžíce"
"2","Paprika sladká","['1 lžička', '1 lžička ', ' maďarské papriky']","1 lžička"
"2","Paprika červená čerstvá","['1', '1 ', ' červená paprika']","1"
"2","Klobása","['1', '1 ', ' maďarská klobása']","1"
"2","Vývar masový","['300 ml', '300 ml ', ' vývaru']","300 ml"
"2","Pórek čerstvý","['kousek', 'kousek ', ' zelené části pórku']","kousek"
"2","Česnek čerstvý","['2 stroužky', '2 stroužky ', ' česneku']","2 stroužky"
"2","Noky","['500 g', '500 g ', ' gnocchi']","500 g"
"2","Vepřová kýta","['360 g', '360 g ', ' vepřové kýty']","360 g"
"2","Hřib mražený","['200 g', '200 g ', ' mražených hub']","200 g"
"2","Olej řepkový","['2 lžičky', '2 lžičky ', ' oleje']","2 lžičky"
"2","Voda","['1,5 l', '1,5 l ', ' vody']","1,5 l"
"2","Smetana kravská sladká 12%","['150 g', '150 g ', ' smetany na vaření 10%']","150 g"
"2","Hořčice plnotučná","['50 g', '50 g ', ' polotučné hořčice']","50 g"
"2","Mouka pšeničná hladká","['1 lžíce', '1 lžíce ', ' hladké mouky']","1 lžíce"
"2","Sůl mořská","['sůl']","
"
"2","Pepř černý","['2 lžičky', '2 lžičky ', ' pepře']","2 lžičky"
"2","Petržel nať čerstvá","['petrželka kudrnka']","
"
"2","Bujón houbový","['houbový bujón (pro zvýraznění chuti, nemusí být)']","
"
"2","Vepřová kýta","['500 g', '500 g ', ' vepřového masa (plecko nebo krkovička)']","500 g"
"2","Cibule čerstvá","['500 g', '500 g ', ' cibule']","500 g"
"2","Česnek čerstvý","['česnek']","
"
"2","Paprika červená sušená","['sladká paprika']","
"
"2","Paprika pálivá","['pálivá paprika']","
"
"2","Pepř černý","['pepř']","
"
"2","Grilovací koření","['grilovací koření']","
"
"2","Sádlo vepřové","['trochu', 'trochu ', ' sádla']","trochu"
"2","Sůl mořská","['sůl']","
"
"2","Krůta prsa bez kůže","['300', '300 ', ' ml miska pečeného krůtího masa']","300"
"2","Hřib čerstvý","['3', '3 ', ' houby shitake']","3"
"2","Olej olivový","['1 lžíce', '1 lžíce ', ' olivového oleje']","1 lžíce"
"2","Mrkev čerstvá","['1', '1 ', ' střední mrkev']","1"
"2","Cuketa čerstvá","['5-7', '5-7 ', ' cm kousek mladé cukety']","5-7"
"2","Pórek čerstvý","['10 cm', '10 cm ', ' pórku']","10 cm"
"2","Paprika červená čerstvá","['1', '1 ', ' malá červená paprika']","1"
"2","Paprika bílá čerstvá","['1', '1 ', ' malá bílá paprika']","1"
"2","Cibulka jarní čerstvá","['2', '2 ', ' jarní cibulky']","2"
"2","Česnek čerstvý","['2 stroužky', '2 stroužky ', ' česneku']","2 stroužky"
"2","Zázvor čerstvý","['2 plátky', '2 plátky ', ' čerstvého zázvoru']","2 plátky"
"2","Chilli paprička čerstvá","['1', '1 ', ' chilli paprička (nemusí být)']","1"
"2","","['1/2 lžičky', '1/2 lžičky ', ' mletého galgánu']","1/2 lžičky"
"2","Fenykl hlíza","['1/2 lžičky', '1/2 lžičky ', ' mletého fenyklu']","1/2 lžičky"
"2","Rybí omáčka","['1 lžíce', '1 lžíce ', ' rybí omáčky']","1 lžíce"
"2","Sójová omáčka Tamari","['1 lžíce', '1 lžíce ', ' sójové omáčky']","1 lžíce"
"2","Sójová omáčka Tamari","['2 lžíce', '2 lžíce ', ' sladké sójové omáčky']","2 lžíce"
"2","Ocet rýžový","['1 lžíce', '1 lžíce ', ' rýžového octa']","1 lžíce"
"2","Bramborový škrob","['1/2 lžičky', '1/2 lžičky ', ' Solamylu']","1/2 lžičky"
"2","Koriandr listy čerstvé","['čerstvý koriandr']","
"
"2","Zavináče","['2', '2 ', ' větší  zavináče']","2"
"2","Mrkev čerstvá","['1', '1 ', ' středně velká mrkev']","1"
