"recipe_id","name","value","unit"
"18","Energie","7 623","7 623 kJ / 1 822 kcal"
"18","Bílkoviny","50,27","50,27 g"
"18"," – z toho živočišné bílkoviny","17,07","17,07 g"
"18"," – z toho rostlinné bílkoviny","33,20","33,20 g"
"18","Tuky","20,62","20,62 g"
"18"," – nasycené","11,20","11,20 g"
"18"," – nenasycené","7,26","7,26 g"
"18"," –– mononenasycené","5,20","5,20 g"
"18"," –– polynenasycené","2,06","2,06 g"
"18"," ––– omega 3","0,16","0,16 g"
"18","Vláknina","21,05","21,05 g"
"18","Cholesterol","56","
56 mg
	"
"18","Sodík","236","
236 mg
	"
"18","Sůl","0,53","0,53 g"
"18","Sacharidy","348,33","348,33 g"
"18"," – cukry","226,33","226,33 g"
"18"," ––– laktóza","24,58","24,58 g"
"18","Energie","1 385","1 385 kJ / 331 kcal"
"18","Bílkoviny","8,21","8,21 g"
"18"," – z toho živočišné bílkoviny","6,10","6,10 g"
"18"," – z toho rostlinné bílkoviny","2,11","2,11 g"
"18","Tuky","24,34","24,34 g"
"18"," – nasycené","10,05","10,05 g"
"18"," – nenasycené","13,78","13,78 g"
"18"," –– mononenasycené","10,63","10,63 g"
"18"," –– polynenasycené","3,14","3,14 g"
"18"," ––– omega 3","0,35","0,35 g"
"18","Vláknina","7,12","7,12 g"
"18","Cholesterol","27","
27 mg
	"
"18","Sodík","91","
91 mg
	"
"18","Sůl","0,18","0,18 g"
"18","Sacharidy","17,99","17,99 g"
"18"," – cukry","9,26","9,26 g"
"18"," ––– laktóza","2,85","2,85 g"
"18","Energie","1 442","1 442 kJ / 345 kcal"
"18","Bílkoviny","28,26","28,26 g"
"18"," – z toho živočišné bílkoviny","26,04","26,04 g"
"18"," – z toho rostlinné bílkoviny","2,22","2,22 g"
"18","Tuky","22,77","22,77 g"
"18"," – nasycené","5,47","5,47 g"
"18"," – nenasycené","10,51","10,51 g"
"18"," –– mononenasycené","8,40","8,40 g"
"18"," –– polynenasycené","2,11","2,11 g"
"18"," ––– omega 3","0,08","0,08 g"
"18","Vláknina","0,98","0,98 g"
"18","Cholesterol","777","
777 mg
	"
"18","Sodík","2,07","
2,07 g
	"
"18","Sůl","4,83","4,83 g"
"18","Sacharidy","6,60","6,60 g"
"18"," – cukry","0,14","0,14 g"
"18"," ––– laktóza","0,00","0,00 g"
"18","Energie","6 314","6 314 kJ / 1 509 kcal"
"18","Bílkoviny","28,80","28,80 g"
"18"," – z toho živočišné bílkoviny","0,00","0,00 g"
"18"," – z toho rostlinné bílkoviny","28,80","28,80 g"
"18","Tuky","28,80","28,80 g"
"18"," – nasycené","16,00","16,00 g"
"18"," – nenasycené","12,80","12,80 g"
"18"," –– mononenasycené","9,60","9,60 g"
"18"," –– polynenasycené","3,20","3,20 g"
"18"," ––– omega 3","0,00","0,00 g"
"18","Vláknina","35,20","35,20 g"
"18","Cholesterol","0","
0 mg
	"
"18","Sodík","16","
16 mg
	"
"18","Sůl","0,00","0,00 g"
"18","Sacharidy","182,80","182,80 g"
"18"," – cukry","131,60","131,60 g"
"18"," ––– laktóza","0,00","0,00 g"
"18","Energie","2 682","2 682 kJ / 641 kcal"
"18","Bílkoviny","25,95","25,95 g"
"18"," – z toho živočišné bílkoviny","0,00","0,00 g"
"18"," – z toho rostlinné bílkoviny","25,95","25,95 g"
"18","Tuky","14,05","14,05 g"
"18"," – nasycené","2,42","2,42 g"
"18"," – nenasycené","11,27","11,27 g"
"18"," –– mononenasycené","8,34","8,34 g"
"18"," –– polynenasycené","2,94","2,94 g"
"18"," ––– omega 3","0,01","0,01 g"
"18","Vláknina","41,40","41,40 g"
"18","Cholesterol","0","
0 mg
	"
"18","Sodík","651","
651 mg
	"
"18","Sůl","1,00","1,00 g"
"18","Sacharidy","82,02","82,02 g"
"18"," – cukry","49,00","49,00 g"
"18"," ––– laktóza","0,00","0,00 g"
"18","Energie","9 053","9 053 kJ / 2 164 kcal"
"18","Bílkoviny","16,57","16,57 g"
"18"," – z toho živočišné bílkoviny","15,23","15,23 g"
"18"," – z toho rostlinné bílkoviny","1,34","1,34 g"
"18","Tuky","227,48","227,48 g"
"18"," – nasycené","111,26","111,26 g"
"18"," – nenasycené","111,39","111,39 g"
"18"," –– mononenasycené","95,31","95,31 g"
"18"," –– polynenasycené","16,08","16,08 g"
"18"," ––– omega 3","0,37","0,37 g"
"18","Vláknina","3,41","3,41 g"
"18","Cholesterol","424","
424 mg
	"
"18","Sodík","4,10","
4,10 g
	"
"18","Sůl","10,23","10,23 g"
"18","Sacharidy","11,60","11,60 g"
"18"," – cukry","6,08","6,08 g"
"18"," ––– laktóza","3,80","3,80 g"
"18","Energie","3 826","3 826 kJ / 914 kcal"
"18","Bílkoviny","168,22","168,22 g"
"18"," – z toho živočišné bílkoviny","165,90","165,90 g"
"18"," – z toho rostlinné bílkoviny","2,32","2,32 g"
"18","Tuky","18,32","18,32 g"
"18"," – nasycené","9,16","9,16 g"
"18"," – nenasycené","7,44","7,44 g"
"18"," –– mononenasycené","5,70","5,70 g"
"18"," –– polynenasycené","1,75","1,75 g"
"18"," ––– omega 3","1,43","1,43 g"
"18","Vláknina","7,61","7,61 g"
"18","Cholesterol","421","
421 mg
	"
"18","Sodík","473","
473 mg
	"
"18","Sůl","1,18","1,18 g"
"18","Sacharidy","17,30","17,30 g"
"18"," – cukry","10,28","10,28 g"
"18"," ––– laktóza","3,80","3,80 g"
"18","Energie","1 560","1 560 kJ / 373 kcal"
"18","Bílkoviny","1,41","1,41 g"
"18"," – z toho živočišné bílkoviny","0,21","0,21 g"
"18"," – z toho rostlinné bílkoviny","1,20","1,20 g"
"18","Tuky","25,64","25,64 g"
"18"," – nasycené","16,24","16,24 g"
"18"," – nenasycené","8,86","8,86 g"
"18"," –– mononenasycené","7,84","7,84 g"
"18"," –– polynenasycené","1,02","1,02 g"
"18"," ––– omega 3","0,17","0,17 g"
"18","Vláknina","7,80","7,80 g"
"18","Cholesterol","77","
77 mg
	"
"18","Sodík","411","
411 mg
	"
