"recipe_id","name","description","amount"
"10","Cibule čerstvá","['200 g', '200 g ', ' cibule']","200 g"
"10","Brambor zimní","['100 g', '100 g ', ' uvařených brambor (1 ks)']","100 g"
"10","Česnek čerstvý","['2 stroužky', '2 stroužky ', ' česneku']","2 stroužky"
"10","Vejce slepičí","['2', '2 ', ' vejce']","2"
"10","Smetana kravská sladká 12%","['50 ml', '50 ml ', ' smetany']","50 ml"
"10","Gouda 45% t. v s.","['60 g', '60 g ', ' goudy (nebo eidamu)']","60 g"
"10","Sádlo vepřové","['1 lžíce', '1 lžíce ', ' sádla']","1 lžíce"
"10","Pepř černý mletý","['mletý pepř']","
"
"10","Sůl mořská","['sůl']","
"
"10","","['']","
"
"10","Chilli omáčka","['sladká chilli omáčka']","
"
"10","Petržel nať čerstvá","['zelené bylinky (nebo nať cibulky)']","
"
"10","Vepřová panenka","['1', '1 ', ' vepřová panenka']","1"
"10","Česnek čerstvý","['1 palice', '1 palice ', ' česneku']","1 palice"
"10","Olej olivový","['2 lžíce', '2 lžíce ', ' olivového oleje']","2 lžíce"
"10","Sůl mořská","['1 lžíce', '1 lžíce ', ' soli']","1 lžíce"
"10","Pepř černý","['1 lžíce', '1 lžíce ', ' pepře']","1 lžíce"
"10","Tymián sušený","['1/2 lžičky', '1/2 lžičky ', ' sušeného tymiánu']","1/2 lžičky"
"10","Koriandr list sušený","['1/2 lžičky', '1/2 lžičky ', ' mletého koriandru']","1/2 lžičky"
"10","Rozmarýn sušený","['1/2 lžičky', '1/2 lžičky ', ' sušeného rozmarýnu']","1/2 lžičky"
"10","Libeček sušený","['1/2 lžičky', '1/2 lžičky ', ' sušeného libečku']","1/2 lžičky"
"10","Voda","['1 šálek', '1 šálek ', ' vody']","1 šálek"
"10","Treska filet","['300 g', '300 g ', ' mražené tresky']","300 g"
"10","Sůl mořská","['sůl']","
"
"10","Pepř černý mletý","['čerstvě mletý pepř']","
"
"10","","['']","
"
"10","Mouka pšeničná hladká","['2 lžíce', '2 lžíce ', ' hladké mouky']","2 lžíce"
"10","Bramborový škrob","['1 lžíce', '1 lžíce ', ' bramborového škrobu']","1 lžíce"
"10","Kypřící prášek","['0,5 lžičky', '0,5 lžičky ', ' prášku do pečiva']","0,5 lžičky"
"10","Vejce slepičí","['1', '1 ', ' vejce']","1"
"10","Smetana kravská sladká 12%","['50-70 ml', '50-70 ml ', ' smetany na zředění (nebo víno, pivo, mléko)']","50-70 ml"
"10","","['']","
"
"10","Olej řepkový","['olej na smažení']","
"
"10","Vepřová kýta","['3', '3 ', ' silné plátky vepřové kýty']","3"
"10","Hořčice kremžská","['3 lžíce', '3 lžíce ', ' kremžské hořčice']","3 lžíce"
"10","Mrkev čerstvá","['1', '1 ', ' velká mrkev (200 g)']","1"
"10","Hrášek zelený sterilovaný","['3 lžíce', '3 lžíce ', ' sterilovaného hrášku']","3 lžíce"
"10","Cibule čerstvá","['3 lžíce', '3 lžíce ', ' pražené cibule']","3 lžíce"
"10","Pepř černý mletý","['mletý pepř']","
"
"10","Sůl mořská","['sůl']","
"
"10","","['']","
"
"10","Mrkev čerstvá","['2', '2 ', ' velké mrkve']","2"
"10","Cibule čerstvá","['3', '3 ', ' větší cibule']","3"
"10","Hořčice kremžská","['3 lžíce', '3 lžíce ', ' kremžské hořčice']","3 lžíce"
"10","Voda","['3 lžíce', '3 lžíce ', ' vody']","3 lžíce"
"10","Sůl mořská","['sůl']","
"
"10","","['']","
"
"10","Olej řepkový","['3 lžíce', '3 lžíce ', ' oleje']","3 lžíce"
"10","Máslo kravské","['2', '2 ', ' cm silný plátek másla']","2"
"10","Hrášek zelený sterilovaný","['3 lžíce', '3 lžíce ', ' sterilovaného hrášku']","3 lžíce"
"10","Smetana kravská sladká 12%","['smetana - 33%']","
"
"10","Tuňák filet","['500 g', '500 g ', ' čerstvého tuňáka (nebo tanigue - španělská makrela)']","500 g"
"10","Ocet lihový","['200 ml', '200 ml ', ' octa']","200 ml"
"10","Cibule červená čerstvá","['1-2', '1-2 ', ' větší červené cibule (nebo šalotka)']","1-2"
"10","","['kokosový krém']","
"
"10","Chilli paprička čerstvá","['chilli paprička (podle chuti)']","
"
"10","Zázvor sušený","['1 lžíce', '1 lžíce ', ' zázvoru']","1 lžíce"
"10","Šťáva z limetky","['šťáva z 1 limetky (nebo calamansi)']","
"
"10","Sůl mořská","['sůl']","
"
"10","Pepř černý","['pepř']","
"
"10","Cukr bílý","['cukr']","
"
"10","","['']","
"
"10","Rajče červené čerstvé","['paprika, okurky, rajčata (nemusí být)']","
"
"10","Mouka mandlová","['100 g', '100 g ', ' mandlové mouky']","100 g"
"10","Mouka kokosová","['50 g', '50 g ', ' kokosové mouky']","50 g"
"10","Lněná semínka","['30 g', '30 g ', ' namletých lněných semínek']","30 g"
"10","Psyllium","['4 lžíce', '4 lžíce ', ' psyllia']","4 lžíce"
"10","Tvaroh polotučný","['250 g', '250 g ', ' tvarohu']","250 g"
"10","Sýr kravský tvrdý 30%","['100 g', '100 g ', ' tvrdého sýra']","100 g"
"10","Vejce slepičí","['2', '2 ', ' vejce']","2"
"10","Kypřící prášek","['1', '1 ', ' prášek do pečiva']","1"
"10","Sůl mořská","['1/2 lžičky', '1/2 lžičky ', ' soli']","1/2 lžičky"
"10","Kopr nať čerstvý","['1/2 lžičky', '1/2 lžičky ', ' sušeného kopru']","1/2 lžičky"
"10","Pepř černý","['1 lžička', '1 lžička ', ' koření na sýry a tvaroh']","1 lžička"
"10","Kopr nať čerstvý","['kopr na posypání']","
"
"10","Zelí bílé čerstvé","['200 g', '200 g ', ' hlávkového zelí (mladé, ale může být i zimní)']","200 g"
"10","Brambor zimní","['200 g', '200 g ', ' brambor']","200 g"
"10","Párek vepřový","['1 nožka', '1 nožka ', ' párku']","1 nožka"
"10","Sádlo vepřové","['1 lžíce', '1 lžíce ', ' sádla']","1 lžíce"
"10","Kmín mletý","['1/2 lžičky', '1/2 lžičky ', ' drceného kmínu']","1/2 lžičky"
"10","Kořenící směs sypká","['1 lžíce', '1 lžíce ', ' koření Kuchárek bez konzervantů']","1 lžíce"
"10","Česnek sušený","['1/2 lžičky', '1/2 lžičky ', ' sušeného česneku']","1/2 lžičky"
"10","Chilli paprička čerstvá","['chilli paprička (podle chuti)']","
"
"10","","['']","
"
"10","Vejce slepičí","['1', '1 ', ' vejce']","1"
"10","Mouka pšeničná hrubá","['3 lžičky', '3 lžičky ', ' hrubé mouky']","3 lžičky"
"10","","['']","
"
"10","Majoránka sušená","['libeček, majoránka nebo pažitka']","
"
"10","Ocet lihový","['1-2 lžíce', '1-2 lžíce ', ' octa (nemusí být)']","1-2 lžíce"
"10","Sůl mořská","['sůl']","
"
"10","Tofu marinované","['1', '1 ', ' marinované tofu']","1"
"10","Žampion čerstvý","['300 g', '300 g ', ' malých žampionů']","300 g"
"10","Cibule čerstvá","['300 g', '300 g ', ' maličkých cibulí']","300 g"
"10","Olej řepkový","['olej']","
"
"10","Paprika červená sušená","['1 lžíce', '1 lžíce ', ' mleté papriky']","1 lžíce"
"10","Bramborový škrob","['1 lžička', '1 lžička ', ' Solamylu']","1 lžička"
"10","Vývar masový","['1 dl', '1 dl ', ' vývaru']","1 dl"
"10","Sůl mořská","['sůl']","
"
"10","Majoránka čerstvá","['čerstvá majoránka']","
"
"10","Jahody čerstvé","['400 g', '400 g ', ' jahod']","400 g"
"10","Kyška","['1 kelímek', '1 kelímek ', ' Valašské kyšky (400 ml)']","1 kelímek"
"10","","['1', '1 ', ' tuba Pikniku (150 g)']","1"
"10","Cukr bílý","['moučkový cukr (podle potřeby)']","
"
"10","Kuře prso","['1', '1 ', ' velké kuřecí prso']","1"
"10","Cibule čerstvá","['1', '1 ', ' malá cibule']","1"
"10","Paprika červená čerstvá","['1/2', '1/2 ', ' červené papriky']","1/2"
"10","Paprika žlutá čerstvá","['1/2', '1/2 ', ' žluté papriky']","1/2"
"10","Paprika zelená čerstvá","['1/2', '1/2 ', ' zelené papriky']","1/2"
"10","Cibulka jarní čerstvá","['jarní cibulka']","
"
"10","Nápoj kokosový","['1', '1 ', ' kokosové mléko (400 ml)']","1"
"10","Rybí omáčka","['1 lžíce', '1 lžíce ', ' rybí omáčky']","1 lžíce"
"10","Curry pasta","['1 lžička', '1 lžička ', ' žluté kari pasty']","1 lžička"
"10","Sůl mořská","['sůl']","
"
"10","Pepř černý","['pepř']","
"
"10","Bramborový škrob","['1 lžíce', '1 lžíce ', ' Solamylu']","1 lžíce"
"10","Sójová omáčka Tamari","['1 lžička', '1 lžička ', ' sójové omáčky']","1 lžička"
"10","Olej řepkový","['2-3 lžíce', '2-3 lžíce ', ' oleje']","2-3 lžíce"
"10","Kuře prso","['260 g', '260 g ', ' kuřecích prsních řízků']","260 g"
"10","Pepř černý","['1 lžíce', '1 lžíce ', ' argentinského koření']","1 lžíce"
"10","Sůl mořská","['sůl']","
"
"10","Mouka pšeničná hladká","['1 lžíce', '1 lžíce ', ' hladké mouky na poprášení masa']","1 lžíce"
"10","Ghí","['30 g', '30 g ', ' přepuštěného másla (nebo másla s olejem)']","30 g"
"10","Cibule čerstvá","['1', '1 ', ' menší cibule']","1"
"10","Mrkev čerstvá","['40 g', '40 g ', ' mrkve']","40 g"
"10","Celer bulva čerstvá","['30 g', '30 g ', ' celeru']","30 g"
"10","Paprika červená sušená","['1 lžička', '1 lžička ', ' sladké papriky']","1 lžička"
"10","Chilli paprička sušená","['chilli (podle chuti)']","
"
"10","Vývar kuřecí","['300 ml', '300 ml ', ' kuřecího vývaru (nebo vody)']","300 ml"
"10","","['']","
"
"10","Mouka pšeničná hladká","['2 lžičky', '2 lžičky ', ' mouky']","2 lžičky"
"10","Voda","['50 ml', '50 ml ', ' vody']","50 ml"
"10","","['']","
"
"10","","['']","
"
"10","","['']","
"
"10","Brokolice čerstvá","['1', '1 ', ' brokolice (růžičky bez stonků)']","1"
"10","Brambor zimní","['7', '7 ', ' brambor']","7"
"10","Vejce slepičí","['1', '1 ', ' vejce']","1"
"10","Mouka pšeničná hrubá","['250 g', '250 g ', ' hrubé mouky']","250 g"
"10","Vločky ovesné","['3 hrsti', '3 hrsti ', ' celozrnných vloček']","3 hrsti"
"10","Kořenící směs sypká","['1', '1 ', ' velká lžíce vegety']","1"
"10","Cibulka jarní čerstvá","['1 hrst', '1 hrst ', ' hotové smažené cibulky']","1 hrst"
"10","Sůl mořská","['sůl']","
"
"10","","['']","
"
"10","Sádlo vepřové","['2', '2 ', ' velké lžíce sádla']","2"
"10","Cibule červená čerstvá","['1', '1 ', ' větší červená cibule']","1"
"10","Anglická slanina","['100 g', '100 g ', ' anglické slaniny (nebo oravské)']","100 g"
"10","Rýže bílá","['250', '250 ', ' ml hrnek uvařené rýže']","250"
"10","Gouda 45% t. v s.","['100 g', '100 g ', ' goudy (nebo jiného sýru)']","100 g"
"10","Celer bulva čerstvá","['50 g', '50 g ', ' celeru']","50 g"
"10","Mrkev čerstvá","['50 g', '50 g ', ' mrkve']","50 g"
"10","Cibulka jarní čerstvá","['1', '1 ', ' bílá část jarní cibulky']","1"
"10","Vejce slepičí","['1', '1 ', ' vejce']","1"
"10","Sůl mořská","['sůl']","
"
"10","","['']","
"
"10","Vepřový bok uzený","['10 plátků', '10 plátků ', ' česnekového boku']","10 plátků"
"10","Olej řepkový","['trošku', 'trošku ', ' oleje']","trošku"
"10","Cibule čerstvá","['5', '5 ', ' cibulí']","5"
"10","Anglická slanina","['50 g', '50 g ', ' anglické slaniny']","50 g"
"10","Česnek čerstvý","['4 stroužky', '4 stroužky ', ' česneku']","4 stroužky"
"10","Máslo kravské","['30 g', '30 g ', ' másla']","30 g"
"10","Vejce slepičí","['5', '5 ', ' vajec']","5"
