"recipe_id","name","value","unit"
"14","Energie","5 019","5 019 kJ / 1 200 kcal"
"14","Bílkoviny","68,17","68,17 g"
"14"," – z toho živočišné bílkoviny","65,90","65,90 g"
"14"," – z toho rostlinné bílkoviny","2,27","2,27 g"
"14","Tuky","94,57","94,57 g"
"14"," – nasycené","23,26","23,26 g"
"14"," – nenasycené","56,11","56,11 g"
"14"," –– mononenasycené","29,03","29,03 g"
"14"," –– polynenasycené","27,08","27,08 g"
"14"," ––– omega 3","0,79","0,79 g"
"14","Vláknina","4,34","4,34 g"
"14","Cholesterol","1,42","
1,42 g
	"
"14","Sodík","1,96","
1,96 g
	"
"14","Sůl","4,70","4,70 g"
"14","Sacharidy","17,96","17,96 g"
"14"," – cukry","11,33","11,33 g"
"14"," ––– laktóza","6,50","6,50 g"
"14","Energie","3 645","3 645 kJ / 871 kcal"
"14","Bílkoviny","69,10","69,10 g"
"14"," – z toho živočišné bílkoviny","60,19","60,19 g"
"14"," – z toho rostlinné bílkoviny","8,91","8,91 g"
"14","Tuky","38,70","38,70 g"
"14"," – nasycené","13,59","13,59 g"
"14"," – nenasycené","18,96","18,96 g"
"14"," –– mononenasycené","14,52","14,52 g"
"14"," –– polynenasycené","4,45","4,45 g"
"14"," ––– omega 3","0,15","0,15 g"
"14","Vláknina","10,21","10,21 g"
"14","Cholesterol","573","
573 mg
	"
"14","Sodík","656","
656 mg
	"
"14","Sůl","1,21","1,21 g"
"14","Sacharidy","57,71","57,71 g"
"14"," – cukry","11,80","11,80 g"
"14"," ––– laktóza","0,00","0,00 g"
"14","Energie","1 880","1 880 kJ / 449 kcal"
"14","Bílkoviny","4,19","4,19 g"
"14"," – z toho živočišné bílkoviny","0,00","0,00 g"
"14"," – z toho rostlinné bílkoviny","4,19","4,19 g"
"14","Tuky","32,60","32,60 g"
"14"," – nasycené","4,51","4,51 g"
"14"," – nenasycené","27,44","27,44 g"
"14"," –– mononenasycené","23,52","23,52 g"
"14"," –– polynenasycené","3,91","3,91 g"
"14"," ––– omega 3","0,07","0,07 g"
"14","Vláknina","15,32","15,32 g"
"14","Cholesterol","0","
0 mg
	"
"14","Sodík","98","
98 mg
	"
"14","Sůl","0,20","0,20 g"
"14","Sacharidy","29,47","29,47 g"
"14"," – cukry","16,18","16,18 g"
"14"," ––– laktóza","0,00","0,00 g"
"14","Energie","32 325","32 325 kJ / 7 726 kcal"
"14","Bílkoviny","93,94","93,94 g"
"14"," – z toho živočišné bílkoviny","38,29","38,29 g"
"14"," – z toho rostlinné bílkoviny","55,65","55,65 g"
"14","Tuky","485,39","485,39 g"
"14"," – nasycené","253,26","253,26 g"
"14"," – nenasycené","209,99","209,99 g"
"14"," –– mononenasycené","157,38","157,38 g"
"14"," –– polynenasycené","52,61","52,61 g"
"14"," ––– omega 3","10,96","10,96 g"
"14","Vláknina","17,75","17,75 g"
