"recipe_id","name","value","unit"
"19","Energie","5 660","5 660 kJ / 1 353 kcal"
"19","Bílkoviny","10,35","10,35 g"
"19"," – z toho živočišné bílkoviny","5,10","5,10 g"
"19"," – z toho rostlinné bílkoviny","5,25","5,25 g"
"19","Tuky","122,59","122,59 g"
"19"," – nasycené","16,60","16,60 g"
"19"," – nenasycené","95,32","95,32 g"
"19"," –– mononenasycené","27,65","27,65 g"
"19"," –– polynenasycené","67,68","67,68 g"
"19"," ––– omega 3","1,52","1,52 g"
"19","Vláknina","6,19","6,19 g"
"19","Cholesterol","204","
204 mg
	"
"19","Sodík","1,32","
1,32 g
	"
"19","Sůl","3,25","3,25 g"
"19","Sacharidy","50,12","50,12 g"
"19"," – cukry","43,59","43,59 g"
"19"," ––– laktóza","7,35","7,35 g"
"19","Energie","13 869","13 869 kJ / 3 315 kcal"
"19","Bílkoviny","179,23","179,23 g"
"19"," – z toho živočišné bílkoviny","118,25","118,25 g"
"19"," – z toho rostlinné bílkoviny","60,98","60,98 g"
"19","Tuky","128,77","128,77 g"
"19"," – nasycené","75,50","75,50 g"
"19"," – nenasycené","42,66","42,66 g"
"19"," –– mononenasycené","37,02","37,02 g"
"19"," –– polynenasycené","5,64","5,64 g"
"19"," ––– omega 3","1,21","1,21 g"
"19","Vláknina","26,70","26,70 g"
"19","Cholesterol","561","
561 mg
	"
"19","Sodík","7,24","
7,24 g
	"
"19","Sůl","17,65","17,65 g"
"19","Sacharidy","347,60","347,60 g"
"19"," – cukry","30,50","30,50 g"
"19"," ––– laktóza","16,53","16,53 g"
"19","Energie","6 284","6 284 kJ / 1 502 kcal"
"19","Bílkoviny","81,65","81,65 g"
"19"," – z toho živočišné bílkoviny","55,23","55,23 g"
"19"," – z toho rostlinné bílkoviny","26,42","26,42 g"
"19","Tuky","100,12","100,12 g"
"19"," – nasycené","45,63","45,63 g"
"19"," – nenasycené","39,62","39,62 g"
"19"," –– mononenasycené","33,45","33,45 g"
"19"," –– polynenasycené","6,17","6,17 g"
"19"," ––– omega 3","0,49","0,49 g"
"19","Vláknina","23,57","23,57 g"
"19","Cholesterol","1,72","
1,72 g
	"
"19","Sodík","990","
990 mg
	"
"19","Sůl","2,11","2,11 g"
"19","Sacharidy","60,29","60,29 g"
"19"," – cukry","17,69","17,69 g"
"19"," ––– laktóza","4,20","4,20 g"
"19","Energie","216","216 kJ / 52 kcal"
"19","Bílkoviny","1,47","1,47 g"
"19"," – z toho živočišné bílkoviny","0,00","0,00 g"
"19"," – z toho rostlinné bílkoviny","1,47","1,47 g"
"19","Tuky","0,27","0,27 g"
"19"," – nasycené","0,08","0,08 g"
"19"," – nenasycené","0,13","0,13 g"
"19"," –– mononenasycené","0,04","0,04 g"
"19"," –– polynenasycené","0,09","0,09 g"
"19"," ––– omega 3","0,00","0,00 g"
"19","Vláknina","5,59","5,59 g"
"19","Cholesterol","0","
0 mg
	"
"19","Sodík","46","
46 mg
	"
"19","Sůl","0,10","0,10 g"
"19","Sacharidy","9,21","9,21 g"
"19"," – cukry","6,83","6,83 g"
"19"," ––– laktóza","0,00","0,00 g"
"19","Energie","1 519","1 519 kJ / 363 kcal"
"19","Bílkoviny","3,19","3,19 g"
"19"," – z toho živočišné bílkoviny","0,00","0,00 g"
"19"," – z toho rostlinné bílkoviny","3,19","3,19 g"
"19","Tuky","2,12","2,12 g"
"19"," – nasycené","0,45","0,45 g"
"19"," – nenasycené","0,65","0,65 g"
"19"," –– mononenasycené","0,07","0,07 g"
"19"," –– polynenasycené","0,58","0,58 g"
"19"," ––– omega 3","0,13","0,13 g"
"19","Vláknina","14,01","14,01 g"
"19","Cholesterol","0","
0 mg
	"
"19","Sodík","427","
427 mg
	"
"19","Sůl","1,00","1,00 g"
"19","Sacharidy","75,78","75,78 g"
"19"," – cukry","60,07","60,07 g"
"19"," ––– laktóza","0,00","0,00 g"
"19","Energie","566","566 kJ / 135 kcal"
"19","Bílkoviny","6,94","6,94 g"
"19"," – z toho živočišné bílkoviny","5,33","5,33 g"
"19"," – z toho rostlinné bílkoviny","1,61","1,61 g"
"19","Tuky","6,08","6,08 g"
"19"," – nasycené","3,81","3,81 g"
"19"," – nenasycené","2,21","2,21 g"
"19"," –– mononenasycené","0,56","0,56 g"
"19"," –– polynenasycené","1,65","1,65 g"
"19"," ––– omega 3","0,27","0,27 g"
"19","Vláknina","5,67","5,67 g"
"19","Cholesterol","0","
0 mg
	"
"19","Sodík","21","
21 mg
	"
"19","Sůl","0,00","0,00 g"
"19","Sacharidy","12,12","12,12 g"
"19"," – cukry","4,41","4,41 g"
"19"," ––– laktóza","0,00","0,00 g"
"19","Energie","11 223","11 223 kJ / 2 682 kcal"
"19","Bílkoviny","92,97","92,97 g"
"19"," – z toho živočišné bílkoviny","27,56","27,56 g"
"19"," – z toho rostlinné bílkoviny","65,41","65,41 g"
"19","Tuky","81,41","81,41 g"
"19"," – nasycené","32,48","32,48 g"
"19"," – nenasycené","38,77","38,77 g"
"19"," –– mononenasycené","26,32","26,32 g"
"19"," –– polynenasycené","12,45","12,45 g"
"19"," ––– omega 3","0,50","0,50 g"
"19","Vláknina","66,53","66,53 g"
"19","Cholesterol","536","
536 mg
	"
"19","Sodík","393","
393 mg
	"
"19","Sůl","1,04","1,04 g"
"19","Sacharidy","361,80","361,80 g"
"19"," – cukry","117,15","117,15 g"
"19"," ––– laktóza","14,70","14,70 g"
"19","Energie","12 697","12 697 kJ / 3 035 kcal"
"19","Bílkoviny","128,00","128,00 g"
"19"," – z toho živočišné bílkoviny","74,56","74,56 g"
"19"," – z toho rostlinné bílkoviny","53,44","53,44 g"
"19","Tuky","126,36","126,36 g"
"19"," – nasycené","63,00","63,00 g"
"19"," – nenasycené","57,46","57,46 g"
"19"," –– mononenasycené","49,31","49,31 g"
"19"," –– polynenasycené","8,16","8,16 g"
"19"," ––– omega 3","0,75","0,75 g"
"19","Vláknina","39,74","39,74 g"
"19","Cholesterol","553","
553 mg
	"
"19","Sodík","5,21","
5,21 g
	"
"19","Sůl","13,21","13,21 g"
"19","Sacharidy","328,83","328,83 g"
"19"," – cukry","29,14","29,14 g"
"19"," ––– laktóza","10,92","10,92 g"
"19","Energie","8 494","8 494 kJ / 2 030 kcal"
"19","Bílkoviny","60,50","60,50 g"
"19"," – z toho živočišné bílkoviny","0,00","0,00 g"
"19"," – z toho rostlinné bílkoviny","60,50","60,50 g"
"19","Tuky","30,20","30,20 g"
"19"," – nasycené","3,46","3,46 g"
"19"," – nenasycené","23,90","23,90 g"
"19"," –– mononenasycené","13,66","13,66 g"
"19"," –– polynenasycené","10,24","10,24 g"
"19"," ––– omega 3","2,14","2,14 g"
"19","Vláknina","16,60","16,60 g"
"19","Cholesterol","0","
0 mg
	"
"19","Sodík","4,01","
4,01 g
	"
"19","Sůl","10,00","10,00 g"
