"recipe_id","name","description","amount"
"6","","['']","
"
"6","Vejce slepičí","['3', '3 ', ' vejce']","3"
"6","Cukr bílý","['250 g', '250 g ', ' moučkového cukru']","250 g"
"6","Mouka pšeničná hladká","['400 g', '400 g ', ' hladké mouky']","400 g"
"6","Kypřící prášek","['1', '1 ', ' prášek do pečiva']","1"
"6","Olej řepkový","['125 ml', '125 ml ', ' oleje']","125 ml"
"6","Špenátové pyré","['400 g', '400 g ', ' mraženého špenátového protlaku']","400 g"
"6","","['']","
"
"6","Smetana kravská sladká 30%","['200 g', '200 g ', ' smetany ke šlehání 33%']","200 g"
"6","Smetana kravská zakysaná 12%","['2', '2 ', ' zakysané smetany 30%']","2"
"6","Cukr vanilkový","['2', '2 ', ' vanilkové cukry']","2"
"6","Česnek medvědí čerstvý","['2 hrsti', '2 hrsti ', ' čerstvého medvědího česneku']","2 hrsti"
"6","Kopřiva dvoudomá listy čerstvé","['1 hrst', '1 hrst ', ' mladých výhonků kopřiv']","1 hrst"
"6","Vývar masový","['1 l', '1 l ', ' vývaru (kuřecí, zeleninový)']","1 l"
"6","Brambor zimní","['1', '1 ', ' střední brambora']","1"
"6","Sůl mořská","['sůl']","
"
"6","Pepř černý mletý","['čerstvě mletý pepř']","
"
"6","Muškátový oříšek","['4', '4 ', ' strouhnutí muškátového oříšku']","4"
"6","Smetana kravská zakysaná 12%","['100 ml', '100 ml ', ' zakysané smetany - 30%']","100 ml"
"6","Kuře prso","['300 g', '300 g ', ' kuřecího masa (paličky nebo křídla)']","300 g"
"6","Jogurt kravský bílý 3,5%","['1-2 lžíce', '1-2 lžíce ', ' bílého smetanového jogurtu']","1-2 lžíce"
"6","Česnek čerstvý","['3 stroužky', '3 stroužky ', ' česneku']","3 stroužky"
"6","Pesto z medvědího česneku","['2 lžičky', '2 lžičky ', ' pesta z medvědího česneku']","2 lžičky"
"6","Pepř černý mletý","['čerstvě mletý pepř']","
"
"6","","['']","
"
"6","Olej olivový","['olivový olej']","
"
"6","","['']","
"
"6","Česnek medvědí čerstvý","['2 hrsti', '2 hrsti ', ' medvědího česneku']","2 hrsti"
"6","Olej olivový","['2 lžíce', '2 lžíce ', ' olivového oleje']","2 lžíce"
"6","Vlašské ořechy","['1 hrst', '1 hrst ', ' vlašských ořechů']","1 hrst"
"6","Sůl mořská","['špetka', 'špetka ', ' hrubozrné soli']","špetka"
"6","Parmezán","['1 lžíce', '1 lžíce ', ' nastrouhaného parmezánu']","1 lžíce"
"6","Jablko čerstvé","['2', '2 ', ' jablka']","2"
"6","Mandarinka čerstvá","['2', '2 ', ' mandarinky']","2"
"6","Ghí","['1 lžička', '1 lžička ', ' přepuštěného másla']","1 lžička"
"6","Cukr bílý","['2 lžíce', '2 lžíce ', ' krupicového cukru']","2 lžíce"
"6","","['']","
"
"6","Smetana kravská zakysaná 12%","['200 g', '200 g ', ' kysané smetany']","200 g"
"6","Vlašské ořechy","['vlašské ořechy']","
"
"6","Mléko kravské plnotučné 3,5%","['1 l', '1 l ', ' plnotučného mléka']","1 l"
"6","Jogurt kravský bílý 1,5%","['1-3 lžíce', '1-3 lžíce ', ' bílého jogurtu']","1-3 lžíce"
"6","Vepřová kýta","['4 plátky', '4 plátky ', ' vepřové kýty']","4 plátky"
"6","Sůl mořská","['sůl']","
"
"6","Pepř černý","['pepř']","
"
"6","Cibule čerstvá","['2', '2 ', ' cibule']","2"
"6","Žampion čerstvý","['300 g', '300 g ', ' žampionů']","300 g"
"6","Anglická slanina","['120 g', '120 g ', ' anglické slaniny']","120 g"
"6","Paprika červená sušená","['1 lžička', '1 lžička ', ' mleté papriky']","1 lžička"
"6","Vývar masový","['300 ml', '300 ml ', ' vývaru']","300 ml"
"6","Smetana kravská zakysaná 12%","['100 g', '100 g ', ' kysané smetany']","100 g"
"6","Olej řepkový","['olej']","
"
"6","Máslo kravské","['1 lžička', '1 lžička ', ' másla']","1 lžička"
"6","Kuře prso","['2', '2 ', ' kuřecí prsa (celkem cca 300-350 g masa)']","2"
"6","","['']","
"
"6","Grilovací koření","['2 lžičky', '2 lžičky ', ' grilovacího koření na kuře']","2 lžičky"
"6","Chilli paprička sušená","['1 špetka', '1 špetka ', ' chilli']","1 špetka"
"6","Olej řepkový","['4 lžíce', '4 lžíce ', ' rostlinného oleje']","4 lžíce"
"6","Kari","['1 lžička', '1 lžička ', ' kari koření']","1 lžička"
