"recipe_id","name","description","amount"
"1","Kuře prso","['250-300 g', '250-300 g ', ' kuřecích prsou']","250-300 g"
"1","Sůl mořská","['sůl']","
"
"1","Pepř černý mletý","['čerstvě mletý pepř']","
"
"1","Paprika uzená","['1 lžička', '1 lžička ', ' uzené papriky']","1 lžička"
"1","Listové těsto","['1', '1 ', ' rozválené listové těsto']","1"
"1","","['']","
"
"1","","['']","
"
"1","Rohlík pšeničný bílý","['0,5', '0,5 ', ' staršího rohlíku']","0,5"
"1","Mléko kravské polotučné 1,5%","['mléko na pokropení']","
"
"1","Sůl mořská","['sůl']","
"
"1","Muškát květ sušený","['1 špetka', '1 špetka ', ' muškátového květu']","1 špetka"
"1","Šunka vepřová vařená","['60 g', '60 g ', ' šunky nebo moravského uzeného']","60 g"
"1","Gouda 45% t. v s.","['60 g', '60 g ', ' sýru gouda']","60 g"
"1","Pažitka čerstvá","['1 lžíce', '1 lžíce ', ' nasekané pažitky nebo petrželky']","1 lžíce"
"1","Vejce slepičí","['0,5', '0,5 ', ' rozšlehaného vejce']","0,5"
"1","","['']","
"
"1","Vejce slepičí","['0,5', '0,5 ', ' vejce na potření']","0,5"
"1","Máslo kravské","['50 g', '50 g ', ' másla']","50 g"
"1","Cibule čerstvá","['1', '1 ', ' malá cibule']","1"
"1","Hřib čerstvý","['200 g', '200 g ', ' dušené směsi lesních hub (mražené)']","200 g"
"1","Hřib sušený","['1 hrst', '1 hrst ', ' sušených hříbků']","1 hrst"
"1","Sůl mořská","['sůl']","
"
"1","Pepř černý mletý","['čerstvě mletý pepř']","
"
"1","Kmín mletý","['drcený kmín']","
"
"1","Brambor zimní","['3', '3 ', ' střední brambory']","3"
"1","Máslo kravské","['1 lžíce', '1 lžíce ', ' másla']","1 lžíce"
"1","Mouka pšeničná hladká","['1 lžíce', '1 lžíce ', ' mouky']","1 lžíce"
"1","Libeček čerstvý","['libeček']","
"
"1","Petržel nať čerstvá","['petrželka']","
"
"1","Králík stehna","['2', '2 ', ' králičí stehna']","2"
"1","Cibule čerstvá","['100 g', '100 g ', ' žluté cibule']","100 g"
"1","Mrkev čerstvá","['200 g', '200 g ', ' mrkve']","200 g"
"1","Celer bulva čerstvá","['400 g', '400 g ', ' celeru']","400 g"
"1","Voda","['5 lžic', '5 lžic ', ' vody']","5 lžic"
"1","Pepř černý","['6 kuliček', '6 kuliček ', ' pepře']","6 kuliček"
"1","Nové koření","['6 kuliček', '6 kuliček ', ' nového koření']","6 kuliček"
"1","Bobkový list sušený","['1', '1 ', ' bobkový list']","1"
"1","Sůl mořská","['sůl']","
"
"1","Smetana kravská sladká 30%","['210 ml', '210 ml ', ' smetany ke šlehání']","210 ml"
"1","Červená řepa čerstvá","['1', '1 ', ' červená řepa']","1"
"1","Vejce slepičí","['2', '2 ', ' vejce']","2"
"1","Kmín mletý","['drcený kmín']","
"
"1","Ředkvička čerstvá","['6', '6 ', ' ředkviček']","6"
