"author","recipe_id","date","text"
"Krakenus","16","15. 2. 2023 19:39","bofinka: To som napríklad nevedel  tam som sa s nou nestretol "
"bofinka","16","15. 2. 2023 11:16","Krakenus: V Polsku Kapuśniak na Ukrajine Kapusňak "
"Krakenus","16","14. 2. 2023 21:02","Merylas (moderátorka): može byt ja som ju jedel priamo na Ukrajine a tam vraveli že je ich ale nehádam sa "
"rozmarynaH","16","14. 2. 2023 19:37","Polévka se mi moc líbí a určitě chutná skvěle a je jedno, odkud přichází. "
"Merylas (moderátorka)","16","14. 2. 2023 15:38","Spíš bych řekla, že je to polská polévka."
"Lenka Škulinová","16","13. 2. 2023 18:07","Děkuji, asi bych se nebránila, ale musím brát v potaz strávníky .
Lenka"
"Marie Svarcova","16","13. 2. 2023 11:24"," já bych si přidala chilli  výborné "
"Krakenus","16","13. 2. 2023 17:26","Marie Svarcova: dakujem nie vždy sa podarí aby ten recept vyzeral pekne "
"Marie Svarcova","16","13. 2. 2023 11:27"," pěkný recept i foto "
"RubyRom","16","13. 2. 2023 11:38","Marie Svarcova: Děkuji Maruško"
"Marie Svarcova","16","13. 2. 2023 11:29"," krásně a chutně jsi pohostila "
"Krakenus","16","13. 2. 2023 17:23","Marie Svarcova: tak dúfam že bude chutit "
"Marie Svarcova","16","13. 2. 2023 11:32"," mám tuto kuchyni ráda "
"Lenka Škulinová","16","13. 2. 2023 14:52","Marie Svarcova: Děkuji, dělal jsem poprvé a fakt to vyšlo "
"Marie Svarcova","16","13. 2. 2023 11:33"," také máme rádi "
"Moanka","16","12. 2. 2023 10:02","Marie Svarcova: Děkuji. Pokud zkusíte, ať chutná... "
"Marie Svarcova","16","12. 2. 2023 09:20",""
"Marie Svarcova","16","12. 2. 2023 09:32"," zajímavý recept a výsledek vypadá velmi dobře , to musím zkusit - díky "
"Petonka","16","12. 2. 2023 08:15","RubyRom:  děkuji"
"RubyRom","16","12. 2. 2023 01:53","Krásné loupáčky, jako malované "
"Marie Svarcova","16","22. 2. 2023 19:30","Jaromira18: Děkuji a těším se na foto  krásný večer"
"Jaromira18","16","22. 2. 2023 19:26","Moc se mi to líbí,ráda je upeču,"
"Marie Svarcova","16","22. 2. 2023 17:57","magdalenka:  OK když někam dávám sušené droždí tak to tam napíši ale nic se neděje , ráda ti odpovím   měj se krásně"
"magdalenka","16","22. 2. 2023 17:53","Marie Svarcova: ja som si domyslela, ale...začiatočník môže zaváhať. Zdravím."
"Marie Svarcova","16","22. 2. 2023 17:37","magdalenka:  droždí čerstvé (20 g sušeného? by asi bylo moc 3sáčky ? to by stačil 1) a soda byla napsaná v receptu tak jsem ji dala.  Děkuji za komentář a přeji hezký zbytek dne"
"magdalenka","16","22. 2. 2023 17:20","Prosím, použila si čerstvé alebo sušené droždie? Aj sódu? Ďakujem."
"Anna Kocikova","16","13. 2. 2023 21:19","Jaromira18: Marie Svarcova: Moc děkuji"
"Jaromira18","16","11. 2. 2023 18:17","Vynikající dobrůtka, už foto na ní láká."
"Marie Svarcova","16","10. 2. 2023 19:02"," líbí se mi recept i foto "
"ingi79","16","4. 12. 2021 12:09","Pochutnali jsme si."
"Pepino65","16","26. 9. 2021 20:41","Jsem spokojen. Nikdy před tím jsem ho nevařil, přestože jsem ho hodněkrát konzumoval. No a dnes jsem se odhodal  a pochutnal jsem si, tedy pochutnali jsme si. Jen pár postřehů: není se třeba bát přidat více masa, ne o moc. Další, rýži jsem dal basmati, protože jsem jinou neměl, ale asi to chce rýži, která trochu více lepí, přesto, i tak to bylo chutné. Jsem rád, že jsem recept použil, díky."
"MaminkaVladuska","16","10. 9. 2021 12:28","Včera jsem tento recept vařila a moc nám chutnalo "
"chiara","16","5. 6. 2021 15:31","Misha1221: rýže se přidává syrová,  jak je uvedeno v bodu 2), tak na 1 hrnek rýže přijdou 2 hrnky vývaru,  vše se upeče v troubě"
"Misha1221","16","4. 3. 2021 22:46","Rýži k masu dáváte prosím syrovou a dovaří se v troubě nebo ji k masu dáváte už uvařenou? Děkuji"
"Dana1977","16","24. 1. 2021 21:17","Vypadá to dobře :) škoda, že maso nemohu, ale užívám si naprosto toto dýňové rizoto https://bestrecepty.cz/recept/dynove-rizoto-s-opra..."
"Martina68","16","7. 1. 2021 16:26","Vařím stejně a chutná vždy všem, za mně "
"JanaDorazinova","16","1. 6. 2020 13:15","Standa_VR6:  moc děkuji "
"Standa_VR6","16","31. 5. 2020 14:58","Za mě dobrý. Rychle hotový a opravdu chutné."
"Schicho","16","23. 1. 2020 11:05","Moc dobré, i manželovi chutnalo   "
"Ivana Ch","16","29. 11. 2019 19:05","Rizoto se mě moc líbí, je ale hodně podobné džuvči, tak si myslím že by mě to neprošlo."
"Vlastak83","16","5. 9. 2019 08:57",""
"cechina","16","27. 7. 2019 09:34",""
